,Unsupervised_Test_Error,Min_Unsupervised_Test_Error,Supervised_Test_Error,Min_Supervised_Test_Error
1,0.21810001134872437,0.21810001134872437,0.21139997243881226,0.21139997243881226
1,0.20509999990463257,0.20509999990463257,0.20200002193450928,0.20200002193450928
1,0.19700002670288086,0.19700002670288086,0.1965000033378601,0.1965000033378601
1,0.19349998235702515,0.19349998235702515,0.19199997186660767,0.19199997186660767
1,0.18860000371932983,0.18860000371932983,0.18529999256134033,0.18529999256134033
1,0.18620002269744873,0.18620002269744873,0.18599998950958252,0.18529999256134033
1,0.18229997158050537,0.18229997158050537,0.18389999866485596,0.18389999866485596
1,0.17690002918243408,0.17690002918243408,0.17669999599456787,0.17669999599456787
1,0.17229998111724854,0.17229998111724854,0.16930001974105835,0.16930001974105835
1,0.16850000619888306,0.16850000619888306,0.16189998388290405,0.16189998388290405
1,0.16289997100830078,0.16289997100830078,0.15759998559951782,0.15759998559951782
1,0.15969997644424438,0.15969997644424438,0.15609997510910034,0.15609997510910034
1,0.15799999237060547,0.15799999237060547,0.1567000150680542,0.15609997510910034
1,0.15799999237060547,0.15799999237060547,0.15460002422332764,0.15460002422332764
1,0.15490001440048218,0.15490001440048218,0.14670002460479736,0.14670002460479736
1,0.15069997310638428,0.15069997310638428,0.14719998836517334,0.14670002460479736
1,0.14869999885559082,0.14869999885559082,0.14539998769760132,0.14539998769760132
1,0.14709997177124023,0.14709997177124023,0.1406000256538391,0.1406000256538391
1,0.1438000202178955,0.1438000202178955,0.1330999732017517,0.1330999732017517
1,0.13899999856948853,0.13899999856948853,0.12999999523162842,0.12999999523162842
1,0.13300001621246338,0.13300001621246338,0.1274999976158142,0.1274999976158142
1,0.13270002603530884,0.13270002603530884,0.12760001420974731,0.1274999976158142
1,0.13050001859664917,0.13050001859664917,0.1256999969482422,0.1256999969482422
1,0.12660002708435059,0.12660002708435059,0.12379997968673706,0.12379997968673706
1,0.1251000165939331,0.1251000165939331,0.1256999969482422,0.12379997968673706
1,0.12269997596740723,0.12269997596740723,0.1216999888420105,0.1216999888420105
1,0.1216999888420105,0.1216999888420105,0.11949998140335083,0.11949998140335083
1,0.11900001764297485,0.11900001764297485,0.1152999997138977,0.1152999997138977
1,0.11710000038146973,0.11710000038146973,0.11460000276565552,0.11460000276565552
1,0.11589998006820679,0.11589998006820679,0.11500000953674316,0.11460000276565552
1,0.11650002002716064,0.11589998006820679,0.11720001697540283,0.11460000276565552
1,0.11360001564025879,0.11360001564025879,0.11470001935958862,0.11460000276565552
1,0.1129000186920166,0.1129000186920166,0.11320000886917114,0.11320000886917114
1,0.1086999773979187,0.1086999773979187,0.11080002784729004,0.11080002784729004
1,0.10860002040863037,0.10860002040863037,0.10759997367858887,0.10759997367858887
1,0.10769999027252197,0.10769999027252197,0.10689997673034668,0.10689997673034668
1,0.10689997673034668,0.10689997673034668,0.10579997301101685,0.10579997301101685
1,0.10589998960494995,0.10589998960494995,0.10509997606277466,0.10509997606277466
1,0.10439997911453247,0.10439997911453247,0.10490000247955322,0.10490000247955322
1,0.10339999198913574,0.10339999198913574,0.10210001468658447,0.10210001468658447
1,0.10500001907348633,0.10339999198913574,0.10500001907348633,0.10210001468658447
1,0.10339999198913574,0.10339999198913574,0.10329997539520264,0.10210001468658447
1,0.10339999198913574,0.10339999198913574,0.10180002450942993,0.10180002450942993
1,0.10130000114440918,0.10130000114440918,0.10030001401901245,0.10030001401901245
1,0.0989999771118164,0.0989999771118164,0.09789997339248657,0.09789997339248657
1,0.09950000047683716,0.0989999771118164,0.09680002927780151,0.09680002927780151
1,0.10030001401901245,0.0989999771118164,0.09609997272491455,0.09609997272491455
1,0.09820002317428589,0.09820002317428589,0.09399998188018799,0.09399998188018799
1,0.09619998931884766,0.09619998931884766,0.0942000150680542,0.09399998188018799
1,0.09789997339248657,0.09619998931884766,0.09729999303817749,0.09399998188018799
1,0.09640002250671387,0.09619998931884766,0.09560000896453857,0.09399998188018799
1,0.09689998626708984,0.09619998931884766,0.09630000591278076,0.09399998188018799
1,0.09560000896453857,0.09560000896453857,0.09350001811981201,0.09350001811981201
1,0.09579998254776001,0.09560000896453857,0.09289997816085815,0.09289997816085815
1,0.09539997577667236,0.09539997577667236,0.09310001134872437,0.09289997816085815
1,0.09589999914169312,0.09539997577667236,0.09479999542236328,0.09289997816085815
1,0.09539997577667236,0.09539997577667236,0.09399998188018799,0.09289997816085815
1,0.09509998559951782,0.09509998559951782,0.09229999780654907,0.09229999780654907
1,0.09469997882843018,0.09469997882843018,0.09069997072219849,0.09069997072219849
1,0.09490001201629639,0.09469997882843018,0.09390002489089966,0.09069997072219849
1,0.09179997444152832,0.09179997444152832,0.09299999475479126,0.09069997072219849
1,0.09229999780654907,0.09179997444152832,0.09289997816085815,0.09069997072219849
1,0.09119999408721924,0.09119999408721924,0.09229999780654907,0.09069997072219849
1,0.09119999408721924,0.09119999408721924,0.09079998731613159,0.09069997072219849
1,0.09240001440048218,0.09119999408721924,0.0934000015258789,0.09069997072219849
1,0.09069997072219849,0.09069997072219849,0.09069997072219849,0.09069997072219849
1,0.0909000039100647,0.09069997072219849,0.08980000019073486,0.08980000019073486
1,0.09200000762939453,0.09069997072219849,0.09069997072219849,0.08980000019073486
1,0.09049999713897705,0.09049999713897705,0.08869999647140503,0.08869999647140503
1,0.09140002727508545,0.09049999713897705,0.09030002355575562,0.08869999647140503
