,Xth_norm
1,33.83012008666992
1,33.82666015625
1,33.89277267456055
1,34.00026321411133
1,34.176395416259766
1,34.38506317138672
1,34.54252243041992
1,34.824100494384766
1,34.895206451416016
1,35.08840560913086
1,35.1627197265625
1,35.182518005371094
1,35.2144889831543
1,35.26278305053711
1,35.21607208251953
1,35.146671295166016
1,35.16353988647461
1,35.12369155883789
1,35.08110427856445
1,35.07182312011719
1,35.02939987182617
1,35.010799407958984
1,34.966064453125
1,34.959312438964844
1,34.91181182861328
1,34.91264724731445
1,34.91939163208008
1,34.87911605834961
1,34.88703536987305
1,34.888877868652344
1,34.89654541015625
1,34.87064743041992
1,34.87180709838867
1,34.86421203613281
1,34.85210037231445
1,34.81340408325195
1,34.81781768798828
1,34.84676742553711
1,34.8441047668457
1,34.831817626953125
1,34.84495162963867
1,34.848655700683594
1,34.80844497680664
1,34.788604736328125
1,34.80118942260742
1,34.806480407714844
1,34.77116775512695
1,34.79800033569336
1,34.77067947387695
1,34.77625274658203
1,34.77194595336914
1,34.75653076171875
1,34.7631721496582
1,34.79281997680664
1,34.80027770996094
1,34.74480438232422
1,34.739234924316406
1,34.7507438659668
1,34.77330017089844
1,34.75592041015625
1,34.72016525268555
1,34.73847579956055
1,34.79433059692383
1,34.761905670166016
1,34.75373840332031
1,34.767520904541016
1,34.74079132080078
1,34.76242446899414
1,34.678104400634766
1,34.73861312866211
1,34.749446868896484
1,34.7459716796875
1,34.714542388916016
1,34.73490905761719
1,34.714046478271484
1,34.74693298339844
1,34.72614669799805
1,34.72682189941406
1,34.744998931884766
1,34.69950866699219
1,34.71323776245117
1,34.71852493286133
1,34.70600509643555
1,34.707069396972656
1,34.69218063354492
1,34.679256439208984
1,34.70076370239258
1,34.70494842529297
1,34.72796630859375
1,34.69739532470703
1,34.75389099121094
1,34.72451400756836
1,34.71174621582031
1,34.71769332885742
1,34.685306549072266
1,34.70091247558594
1,34.72371292114258
1,34.68537139892578
1,34.71538162231445
1,34.716880798339844
