,Xth_norm
1,33.83684539794922
1,33.82147216796875
1,33.875606536865234
1,33.98758316040039
1,34.15032958984375
1,34.362709045410156
1,34.59899139404297
1,34.77623748779297
1,34.963470458984375
1,35.14332580566406
1,35.18688201904297
1,35.23456954956055
1,35.32865905761719
1,35.28854751586914
1,35.2582893371582
1,35.19304656982422
1,35.241477966308594
1,35.130611419677734
1,35.1348762512207
1,35.04872512817383
1,35.03263854980469
1,34.971309661865234
1,34.9654541015625
1,34.96455764770508
1,34.90285110473633
1,34.90077209472656
1,34.9213981628418
1,34.90076446533203
1,34.9052619934082
1,34.88408660888672
1,34.83533477783203
1,34.840003967285156
1,34.83879089355469
1,34.820743560791016
1,34.837894439697266
1,34.801570892333984
1,34.85308074951172
1,34.84901809692383
1,34.81778335571289
1,34.78960418701172
1,34.810035705566406
1,34.788326263427734
1,34.77267074584961
1,34.77394104003906
1,34.78274154663086
1,34.77070617675781
1,34.793418884277344
1,34.7900390625
1,34.772525787353516
1,34.80973434448242
1,34.72806167602539
1,34.76204299926758
1,34.75886917114258
1,34.739227294921875
1,34.75457000732422
1,34.75562286376953
1,34.78721237182617
1,34.74273681640625
1,34.749794006347656
1,34.71233367919922
1,34.760475158691406
1,34.72923278808594
1,34.74235916137695
1,34.726409912109375
1,34.73092269897461
1,34.691986083984375
1,34.676822662353516
1,34.72087097167969
1,34.68586349487305
1,34.70516586303711
1,34.68964385986328
1,34.6986198425293
1,34.682003021240234
1,34.683589935302734
1,34.6773567199707
1,34.70662307739258
1,34.732421875
1,34.70924758911133
1,34.671417236328125
1,34.66234588623047
1,34.6733283996582
1,34.67087936401367
1,34.66160202026367
1,34.675071716308594
1,34.682090759277344
1,34.672401428222656
1,34.66464614868164
1,34.68959426879883
1,34.695899963378906
1,34.68052291870117
1,34.69275665283203
1,34.67460250854492
1,34.67564010620117
1,34.68850326538086
1,34.718807220458984
1,34.692909240722656
1,34.676082611083984
1,34.707298278808594
1,34.69889831542969
1,34.68565368652344
