,Train_Class_Error,Min_Train_Class_Error,Final_Test_Error,Min_Final_Test_Error,Final_Test_Loss,Min_Final_Test_Loss
1,0.78166663646698,0.78166663646698,0.07910001277923584,0.07910001277923584,0.22928793728351593,0.22928793728351593
1,0.029999971389770508,0.029999971389770508,0.05849999189376831,0.05849999189376831,0.21126386523246765,0.21126386523246765
1,0.011666655540466309,0.011666655540466309,0.05640000104904175,0.05640000104904175,0.1950448900461197,0.1950448900461197
1,0.014999985694885254,0.011666655540466309,0.05519998073577881,0.05519998073577881,0.18018528819084167,0.18018528819084167
1,0.009999990463256836,0.009999990463256836,0.05460000038146973,0.05460000038146973,0.16651582717895508,0.16651582717895508
1,0.009999990463256836,0.009999990463256836,0.05479997396469116,0.05460000038146973,0.15401796996593475,0.15401796996593475
1,0.008333325386047363,0.008333325386047363,0.054300010204315186,0.054300010204315186,0.1425698697566986,0.1425698697566986
1,0.008333325386047363,0.008333325386047363,0.054099977016448975,0.054099977016448975,0.13208822906017303,0.13208822906017303
1,0.004999995231628418,0.004999995231628418,0.05419999361038208,0.054099977016448975,0.12249990552663803,0.12249990552663803
1,0.008333325386047363,0.004999995231628418,0.053799986839294434,0.053799986839294434,0.11374270915985107,0.11374270915985107
1,0.008333325386047363,0.004999995231628418,0.054000020027160645,0.053799986839294434,0.10578485578298569,0.10578485578298569
1,0.006666660308837891,0.004999995231628418,0.054099977016448975,0.053799986839294434,0.09857209771871567,0.09857209771871567
1,0.006666660308837891,0.004999995231628418,0.05339998006820679,0.05339998006820679,0.09202858805656433,0.09202858805656433
1,0.008333325386047363,0.004999995231628418,0.05320000648498535,0.05320000648498535,0.086077019572258,0.086077019572258
1,0.006666660308837891,0.004999995231628418,0.0526999831199646,0.0526999831199646,0.08065445721149445,0.08065445721149445
1,0.004999995231628418,0.004999995231628418,0.052500009536743164,0.052500009536743164,0.07572858780622482,0.07572858780622482
1,0.004999995231628418,0.004999995231628418,0.05199998617172241,0.05199998617172241,0.07123818248510361,0.07123818248510361
1,0.006666660308837891,0.004999995231628418,0.05169999599456787,0.05169999599456787,0.06716299802064896,0.06716299802064896
1,0.004999995231628418,0.004999995231628418,0.051599979400634766,0.051599979400634766,0.06347908079624176,0.06347908079624176
1,0.006666660308837891,0.004999995231628418,0.05180001258850098,0.051599979400634766,0.06012258678674698,0.06012258678674698
1,0.004999995231628418,0.004999995231628418,0.05140000581741333,0.05140000581741333,0.057053763419389725,0.057053763419389725
1,0.004999995231628418,0.004999995231628418,0.05110001564025879,0.05110001564025879,0.054264236241579056,0.054264236241579056
1,0.004999995231628418,0.004999995231628418,0.051500022411346436,0.05110001564025879,0.051725663244724274,0.051725663244724274
1,0.004999995231628418,0.004999995231628418,0.051599979400634766,0.05110001564025879,0.04940308257937431,0.04940308257937431
1,0.004999995231628418,0.004999995231628418,0.051500022411346436,0.05110001564025879,0.04727540910243988,0.04727540910243988
1,0.004999995231628418,0.004999995231628418,0.051299989223480225,0.05110001564025879,0.04531378298997879,0.04531378298997879
1,0.004999995231628418,0.004999995231628418,0.051500022411346436,0.05110001564025879,0.04351184517145157,0.04351184517145157
1,0.004999995231628418,0.004999995231628418,0.05140000581741333,0.05110001564025879,0.041853293776512146,0.041853293776512146
