,Test_Error_av,Min_Test_Error_av,Test_Error_max,Min_Test_Error_max
1,0.09520000219345093,0.09520000219345093,0.14649999141693115,0.14649999141693115
1,0.07440000772476196,0.07440000772476196,0.11820000410079956,0.11820000410079956
1,0.07150000333786011,0.07150000333786011,0.1086999773979187,0.1086999773979187
1,0.0690000057220459,0.0690000057220459,0.10439997911453247,0.10439997911453247
1,0.06989997625350952,0.0690000057220459,0.10809999704360962,0.10439997911453247
1,0.06669998168945312,0.06669998168945312,0.10519999265670776,0.10439997911453247
1,0.06679999828338623,0.06669998168945312,0.10290002822875977,0.10290002822875977
1,0.06749999523162842,0.06669998168945312,0.10409998893737793,0.10290002822875977
1,0.06919997930526733,0.06669998168945312,0.10519999265670776,0.10290002822875977
1,0.06410002708435059,0.06410002708435059,0.1032000184059143,0.10290002822875977
1,0.06599998474121094,0.06410002708435059,0.10259997844696045,0.10259997844696045
1,0.0656999945640564,0.06410002708435059,0.10140001773834229,0.10140001773834229
1,0.06330001354217529,0.06330001354217529,0.10060000419616699,0.10060000419616699
1,0.06410002708435059,0.06330001354217529,0.10140001773834229,0.10060000419616699
1,0.06499999761581421,0.06330001354217529,0.10280001163482666,0.10060000419616699
1,0.06440001726150513,0.06330001354217529,0.10479998588562012,0.10060000419616699
1,0.06470000743865967,0.06330001354217529,0.10540002584457397,0.10060000419616699
1,0.06379997730255127,0.06330001354217529,0.10369998216629028,0.10060000419616699
1,0.06269997358322144,0.06269997358322144,0.10280001163482666,0.10060000419616699
1,0.06669998168945312,0.06269997358322144,0.10430002212524414,0.10060000419616699
1,0.06590002775192261,0.06269997358322144,0.1054999828338623,0.10060000419616699
1,0.06610000133514404,0.06269997358322144,0.10430002212524414,0.10060000419616699
1,0.06470000743865967,0.06269997358322144,0.10369998216629028,0.10060000419616699
1,0.06590002775192261,0.06269997358322144,0.10659998655319214,0.10060000419616699
1,0.06699997186660767,0.06269997358322144,0.10449999570846558,0.10060000419616699
1,0.06870001554489136,0.06269997358322144,0.1064000129699707,0.10060000419616699
1,0.06499999761581421,0.06269997358322144,0.1039000153541565,0.10060000419616699
1,0.06610000133514404,0.06269997358322144,0.10460001230239868,0.10060000419616699
1,0.06440001726150513,0.06269997358322144,0.1029999852180481,0.10060000419616699
1,0.06650000810623169,0.06269997358322144,0.10689997673034668,0.10060000419616699
