,Xth_norm
1,33.85871887207031
1,33.8223876953125
1,33.88002014160156
1,33.98942184448242
1,34.17950439453125
1,34.3896484375
1,34.59987258911133
1,34.79233932495117
1,34.954261779785156
1,35.045223236083984
1,35.15935516357422
1,35.19300079345703
1,35.17413330078125
1,35.19664764404297
1,35.133079528808594
1,35.10974884033203
1,35.0882453918457
1,35.0511589050293
1,35.09285354614258
1,35.01582717895508
1,35.007503509521484
1,34.97187423706055
1,34.93392562866211
1,34.89022445678711
1,34.9171142578125
1,34.91826629638672
1,34.873313903808594
1,34.850502014160156
1,34.85317611694336
1,34.817176818847656
1,34.814979553222656
1,34.83615493774414
1,34.794952392578125
1,34.77936935424805
1,34.78400421142578
1,34.77546310424805
1,34.74321746826172
1,34.744224548339844
1,34.778419494628906
1,34.72945022583008
1,34.724769592285156
1,34.707218170166016
1,34.73020935058594
1,34.73752975463867
1,34.748558044433594
1,34.71548843383789
1,34.72908401489258
1,34.726375579833984
1,34.704734802246094
1,34.705177307128906
1,34.719608306884766
1,34.71424102783203
1,34.72874450683594
1,34.709564208984375
1,34.73591232299805
1,34.722652435302734
1,34.676246643066406
1,34.73738098144531
1,34.69463348388672
1,34.72145462036133
1,34.668060302734375
1,34.7180061340332
1,34.70865249633789
1,34.698123931884766
1,34.731056213378906
1,34.69984817504883
1,34.704620361328125
1,34.669864654541016
1,34.66413116455078
1,34.64006423950195
1,34.67805862426758
1,34.666439056396484
1,34.69704055786133
1,34.68877410888672
1,34.671630859375
1,34.65605545043945
1,34.67642593383789
1,34.64713668823242
1,34.69766616821289
1,34.67218017578125
1,34.649070739746094
1,34.66071701049805
1,34.63092041015625
1,34.634273529052734
1,34.649112701416016
1,34.62329864501953
1,34.6383171081543
1,34.6530876159668
1,34.70383071899414
1,34.653343200683594
1,34.683197021484375
1,34.64041519165039
1,34.63145446777344
1,34.654502868652344
1,34.66281509399414
1,34.61387634277344
1,34.642635345458984
1,34.6602897644043
1,34.635040283203125
1,34.63819122314453
