,One2one_av_Error,Min_One2one_av,One2one_max_Error,Min_One2one_max_Error
1,0.23869997262954712,0.23869997262954712,0.41339999437332153,0.41339999437332153
1,0.21480000019073486,0.21480000019073486,0.3305000066757202,0.3305000066757202
1,0.18949997425079346,0.18949997425079346,0.2670999765396118,0.2670999765396118
1,0.17330002784729004,0.17330002784729004,0.2347000241279602,0.2347000241279602
1,0.15839999914169312,0.15839999914169312,0.21289998292922974,0.21289998292922974
1,0.14660000801086426,0.14660000801086426,0.1980000138282776,0.1980000138282776
1,0.13660001754760742,0.13660001754760742,0.18589997291564941,0.18589997291564941
1,0.1280999779701233,0.1280999779701233,0.1761000156402588,0.1761000156402588
1,0.1208999752998352,0.1208999752998352,0.1622999906539917,0.1622999906539917
1,0.11589998006820679,0.11589998006820679,0.15299999713897705,0.15299999713897705
1,0.11119997501373291,0.11119997501373291,0.14859998226165771,0.14859998226165771
1,0.10780000686645508,0.10780000686645508,0.14170002937316895,0.14170002937316895
1,0.10670000314712524,0.10670000314712524,0.1363999843597412,0.1363999843597412
1,0.1039000153541565,0.1039000153541565,0.13190001249313354,0.13190001249313354
1,0.0989999771118164,0.0989999771118164,0.12940001487731934,0.12940001487731934
1,0.09670001268386841,0.09670001268386841,0.12440001964569092,0.12440001964569092
1,0.09200000762939453,0.09200000762939453,0.12159997224807739,0.12159997224807739
1,0.08969998359680176,0.08969998359680176,0.1193000078201294,0.1193000078201294
1,0.08799999952316284,0.08799999952316284,0.11760002374649048,0.11760002374649048
1,0.08660000562667847,0.08660000562667847,0.11919999122619629,0.11760002374649048
1,0.08319997787475586,0.08319997787475586,0.1119999885559082,0.1119999885559082
1,0.08240002393722534,0.08240002393722534,0.11089998483657837,0.11089998483657837
1,0.08179998397827148,0.08179998397827148,0.11129999160766602,0.11089998483657837
1,0.08020001649856567,0.08020001649856567,0.10900002717971802,0.10900002717971802
1,0.07760000228881836,0.07760000228881836,0.10579997301101685,0.10579997301101685
1,0.07749998569488525,0.07749998569488525,0.10619997978210449,0.10579997301101685
1,0.07529997825622559,0.07529997825622559,0.10540002584457397,0.10540002584457397
1,0.0756000280380249,0.07529997825622559,0.10460001230239868,0.10460001230239868
1,0.07599997520446777,0.07529997825622559,0.10479998588562012,0.10460001230239868
1,0.07239997386932373,0.07239997386932373,0.10379999876022339,0.10379999876022339
1,0.0722000002861023,0.0722000002861023,0.09820002317428589,0.09820002317428589
1,0.07249999046325684,0.0722000002861023,0.10269999504089355,0.09820002317428589
1,0.07130002975463867,0.07130002975463867,0.09880000352859497,0.09820002317428589
1,0.06959998607635498,0.06959998607635498,0.10199999809265137,0.09820002317428589
1,0.06879997253417969,0.06879997253417969,0.09640002250671387,0.09640002250671387
1,0.07020002603530884,0.06879997253417969,0.09939998388290405,0.09640002250671387
1,0.06760001182556152,0.06760001182556152,0.09689998626708984,0.09640002250671387
1,0.06749999523162842,0.06749999523162842,0.09530001878738403,0.09530001878738403
1,0.06610000133514404,0.06610000133514404,0.09469997882843018,0.09469997882843018
1,0.06849998235702515,0.06610000133514404,0.09469997882843018,0.09469997882843018
1,0.06650000810623169,0.06610000133514404,0.09229999780654907,0.09229999780654907
1,0.0666000247001648,0.06610000133514404,0.09249997138977051,0.09229999780654907
1,0.0666000247001648,0.06610000133514404,0.0910000205039978,0.0910000205039978
1,0.06540000438690186,0.06540000438690186,0.09219998121261597,0.0910000205039978
1,0.06559997797012329,0.06540000438690186,0.09140002727508545,0.0910000205039978
1,0.0656999945640564,0.06540000438690186,0.09249997138977051,0.0910000205039978
1,0.0648999810218811,0.0648999810218811,0.08939999341964722,0.08939999341964722
1,0.0648999810218811,0.0648999810218811,0.08819997310638428,0.08819997310638428
1,0.06480002403259277,0.06480002403259277,0.08950001001358032,0.08819997310638428
1,0.0658000111579895,0.06480002403259277,0.09109997749328613,0.08819997310638428
1,0.06510001420974731,0.06480002403259277,0.09079998731613159,0.08819997310638428
1,0.06389999389648438,0.06389999389648438,0.08929997682571411,0.08819997310638428
1,0.06430000066757202,0.06389999389648438,0.08730000257492065,0.08730000257492065
1,0.06499999761581421,0.06389999389648438,0.08920001983642578,0.08730000257492065
1,0.06459999084472656,0.06389999389648438,0.08980000019073486,0.08730000257492065
1,0.06449997425079346,0.06389999389648438,0.08689999580383301,0.08689999580383301
1,0.06300002336502075,0.06300002336502075,0.08819997310638428,0.08689999580383301
1,0.06300002336502075,0.06300002336502075,0.08649998903274536,0.08649998903274536
1,0.06400001049041748,0.06300002336502075,0.08689999580383301,0.08649998903274536
1,0.06410002708435059,0.06300002336502075,0.08819997310638428,0.08649998903274536
