,Train_Class_Error,Min_Train_Class_Error,Final_Test_Error,Min_Final_Test_Error,Final_Test_Loss,Min_Final_Test_Loss
1,0.06541669368743896,0.06541669368743896,0.03960001468658447,0.03960001468658447,0.0699167475104332,0.0699167475104332
1,0.03896665573120117,0.03896665573120117,0.037400007247924805,0.037400007247924805,0.03206149488687515,0.03206149488687515
1,0.03705000877380371,0.03705000877380371,0.036400020122528076,0.036400020122528076,0.020905185490846634,0.020905185490846634
1,0.03645002841949463,0.03645002841949463,0.03560000658035278,0.03560000658035278,0.016205333173274994,0.016205333173274994
1,0.03593331575393677,0.03593331575393677,0.0350000262260437,0.0350000262260437,0.013704043813049793,0.013704043813049793
1,0.0350833535194397,0.0350833535194397,0.034399986267089844,0.034399986267089844,0.012185332365334034,0.012185332365334034
1,0.03493332862854004,0.03493332862854004,0.03390002250671387,0.03390002250671387,0.011172178201377392,0.011172178201377392
1,0.03393334150314331,0.03393334150314331,0.03350001573562622,0.03350001573562622,0.01046725083142519,0.01046725083142519
1,0.03378331661224365,0.03378331661224365,0.03329998254776001,0.03329998254776001,0.009926008060574532,0.009926008060574532
1,0.033216655254364014,0.033216655254364014,0.03320002555847168,0.03320002555847168,0.009522942826151848,0.009522942826151848
1,0.03289997577667236,0.03289997577667236,0.03299999237060547,0.03299999237060547,0.009179704822599888,0.009179704822599888
1,0.03173333406448364,0.03173333406448364,0.03270000219345093,0.03270000219345093,0.00888057705014944,0.00888057705014944
1,0.03240001201629639,0.03173333406448364,0.03229999542236328,0.03229999542236328,0.008669093251228333,0.008669093251228333
1,0.032033324241638184,0.03173333406448364,0.032100021839141846,0.032100021839141846,0.008484069257974625,0.008484069257974625
1,0.031199991703033447,0.031199991703033447,0.03200000524520874,0.03200000524520874,0.008288053795695305,0.008288053795695305
1,0.031149983406066895,0.031149983406066895,0.031899988651275635,0.031899988651275635,0.00814084243029356,0.00814084243029356
1,0.03113335371017456,0.03113335371017456,0.03179997205734253,0.03179997205734253,0.00802506972104311,0.00802506972104311
1,0.030233323574066162,0.030233323574066162,0.0317000150680542,0.0317000150680542,0.007897422648966312,0.007897422648966312
1,0.03048330545425415,0.030233323574066162,0.031599998474121094,0.031599998474121094,0.007779840379953384,0.007779840379953384
1,0.02988332509994507,0.02988332509994507,0.03140002489089966,0.03140002489089966,0.0076832943595945835,0.0076832943595945835
1,0.029983341693878174,0.02988332509994507,0.03140002489089966,0.03140002489089966,0.0075938343070447445,0.0075938343070447445
1,0.029466688632965088,0.029466688632965088,0.031199991703033447,0.031199991703033447,0.007526242174208164,0.007526242174208164
1,0.029550015926361084,0.029466688632965088,0.031199991703033447,0.031199991703033447,0.007452904246747494,0.007452904246747494
1,0.029266655445098877,0.029266655445098877,0.03140002489089966,0.031199991703033447,0.007370084524154663,0.007370084524154663
1,0.029533326625823975,0.029266655445098877,0.03100001811981201,0.03100001811981201,0.007327476050704718,0.007327476050704718
1,0.029583334922790527,0.029266655445098877,0.030900001525878906,0.030900001525878906,0.007266019470989704,0.007266019470989704
1,0.0287666916847229,0.0287666916847229,0.03070002794265747,0.03070002794265747,0.007203798741102219,0.007203798741102219
1,0.02798330783843994,0.02798330783843994,0.03049999475479126,0.03049999475479126,0.007157298270612955,0.007157298270612955
1,0.028466641902923584,0.02798330783843994,0.030600011348724365,0.03049999475479126,0.007118632551282644,0.007118632551282644
1,0.028100013732910156,0.02798330783843994,0.030600011348724365,0.03049999475479126,0.007065118756145239,0.007065118756145239
1,0.028066694736480713,0.02798330783843994,0.03049999475479126,0.03049999475479126,0.0070301927626132965,0.0070301927626132965
1,0.027800023555755615,0.027800023555755615,0.03049999475479126,0.03049999475479126,0.00698150834068656,0.00698150834068656
1,0.027899980545043945,0.027800023555755615,0.030399978160858154,0.030399978160858154,0.006946867797523737,0.006946867797523737
1,0.027533352375030518,0.027533352375030518,0.030300021171569824,0.030300021171569824,0.0069181048311293125,0.0069181048311293125
1,0.027199983596801758,0.027199983596801758,0.03020000457763672,0.03020000457763672,0.006865472532808781,0.006865472532808781
1,0.027849972248077393,0.027199983596801758,0.029900014400482178,0.029900014400482178,0.006854914128780365,0.006854914128780365
1,0.027350008487701416,0.027199983596801758,0.029600024223327637,0.029600024223327637,0.0068155312910676,0.0068155312910676
1,0.027933359146118164,0.027199983596801758,0.029399991035461426,0.029399991035461426,0.006786345038563013,0.006786345038563013
1,0.026899993419647217,0.026899993419647217,0.029399991035461426,0.029399991035461426,0.006761033087968826,0.006761033087968826
1,0.026783347129821777,0.026783347129821777,0.029600024223327637,0.029399991035461426,0.006745385471731424,0.006745385471731424
1,0.026000022888183594,0.026000022888183594,0.029999971389770508,0.029399991035461426,0.00670377304777503,0.00670377304777503
1,0.026883304119110107,0.026000022888183594,0.029600024223327637,0.029399991035461426,0.006680516991764307,0.006680516991764307
1,0.02618330717086792,0.026000022888183594,0.029699981212615967,0.029399991035461426,0.0066393413580954075,0.0066393413580954075
1,0.026099979877471924,0.026000022888183594,0.029799997806549072,0.029399991035461426,0.0066085876896977425,0.0066085876896977425
1,0.02631664276123047,0.026000022888183594,0.029600024223327637,0.029399991035461426,0.006611609365791082,0.0066085876896977425
1,0.026449978351593018,0.026000022888183594,0.029600024223327637,0.029399991035461426,0.006591597106307745,0.006591597106307745
1,0.025533318519592285,0.025533318519592285,0.029900014400482178,0.029399991035461426,0.006565695162862539,0.006565695162862539
1,0.02618330717086792,0.025533318519592285,0.029900014400482178,0.029399991035461426,0.006566738244146109,0.006565695162862539
1,0.025816679000854492,0.025533318519592285,0.030099987983703613,0.029399991035461426,0.006534614600241184,0.006534614600241184
1,0.025983333587646484,0.025533318519592285,0.029900014400482178,0.029399991035461426,0.006530020385980606,0.006530020385980606
1,0.02551668882369995,0.02551668882369995,0.029699981212615967,0.029399991035461426,0.006517282221466303,0.006517282221466303
1,0.0254666805267334,0.0254666805267334,0.029799997806549072,0.029399991035461426,0.0064855217933654785,0.0064855217933654785
1,0.025600016117095947,0.0254666805267334,0.029999971389770508,0.029399991035461426,0.0064667752012610435,0.0064667752012610435
1,0.024850010871887207,0.024850010871887207,0.029799997806549072,0.029399991035461426,0.006445950362831354,0.006445950362831354
1,0.024716675281524658,0.024716675281524658,0.029900014400482178,0.029399991035461426,0.006434325128793716,0.006434325128793716
1,0.024850010871887207,0.024716675281524658,0.029699981212615967,0.029399991035461426,0.006425626575946808,0.006425626575946808
1,0.02499997615814209,0.024716675281524658,0.02920001745223999,0.02920001745223999,0.006399280391633511,0.006399280391633511
1,0.02490001916885376,0.024716675281524658,0.029699981212615967,0.02920001745223999,0.006399224512279034,0.006399224512279034
1,0.025116682052612305,0.024716675281524658,0.02950000762939453,0.02920001745223999,0.006384977139532566,0.006384977139532566
1,0.02458333969116211,0.02458333969116211,0.02950000762939453,0.02920001745223999,0.006344681140035391,0.006344681140035391
1,0.024083316326141357,0.024083316326141357,0.029399991035461426,0.02920001745223999,0.006326455622911453,0.006326455622911453
1,0.02431666851043701,0.024083316326141357,0.029399991035461426,0.02920001745223999,0.006303285248577595,0.006303285248577595
1,0.024566650390625,0.024083316326141357,0.02899998426437378,0.02899998426437378,0.006291282828897238,0.006291282828897238
1,0.024950027465820312,0.024083316326141357,0.02920001745223999,0.02899998426437378,0.006285568233579397,0.006285568233579397
1,0.02445000410079956,0.024083316326141357,0.02890002727508545,0.02890002727508545,0.0062714675441384315,0.0062714675441384315
1,0.024733304977416992,0.024083316326141357,0.02929997444152832,0.02890002727508545,0.006271700374782085,0.0062714675441384315
1,0.024833321571350098,0.024083316326141357,0.02899998426437378,0.02890002727508545,0.006268935743719339,0.006268935743719339
1,0.02458333969116211,0.024083316326141357,0.02890002727508545,0.02890002727508545,0.006265491247177124,0.006265491247177124
1,0.024399995803833008,0.024083316326141357,0.02890002727508545,0.02890002727508545,0.006257185246795416,0.006257185246795416
1,0.024366676807403564,0.024083316326141357,0.02869999408721924,0.02869999408721924,0.00624226126819849,0.00624226126819849
1,0.023883342742919922,0.023883342742919922,0.028599977493286133,0.028599977493286133,0.006230330094695091,0.006230330094695091
1,0.02385002374649048,0.02385002374649048,0.02869999408721924,0.028599977493286133,0.0062216054648160934,0.0062216054648160934
1,0.02381664514541626,0.02381664514541626,0.028800010681152344,0.028599977493286133,0.006212371401488781,0.006212371401488781
1,0.023466646671295166,0.023466646671295166,0.02869999408721924,0.028599977493286133,0.006216824986040592,0.006212371401488781
1,0.023633360862731934,0.023466646671295166,0.02869999408721924,0.028599977493286133,0.006197335198521614,0.006197335198521614
1,0.023866653442382812,0.023466646671295166,0.028500020503997803,0.028500020503997803,0.006172449793666601,0.006172449793666601
1,0.023666679859161377,0.023466646671295166,0.02869999408721924,0.028500020503997803,0.0061767855659127235,0.006172449793666601
1,0.023649990558624268,0.023466646671295166,0.028599977493286133,0.028500020503997803,0.006183053366839886,0.006172449793666601
1,0.024200022220611572,0.023466646671295166,0.028500020503997803,0.028500020503997803,0.006175474263727665,0.006172449793666601
1,0.023233354091644287,0.023233354091644287,0.028299987316131592,0.028299987316131592,0.006171216256916523,0.006171216256916523
1,0.023466646671295166,0.023233354091644287,0.028299987316131592,0.028299987316131592,0.006157457362860441,0.006157457362860441
1,0.023233354091644287,0.023233354091644287,0.028400003910064697,0.028299987316131592,0.006140301935374737,0.006140301935374737
1,0.02340000867843628,0.023233354091644287,0.028599977493286133,0.028299987316131592,0.00613769143819809,0.00613769143819809
1,0.022716641426086426,0.022716641426086426,0.028500020503997803,0.028299987316131592,0.006116789765655994,0.006116789765655994
1,0.022549986839294434,0.022549986839294434,0.028199970722198486,0.028199970722198486,0.0061110323294997215,0.0061110323294997215
1,0.023216664791107178,0.022549986839294434,0.028199970722198486,0.028199970722198486,0.006101337261497974,0.006101337261497974
1,0.02324998378753662,0.022549986839294434,0.028299987316131592,0.028199970722198486,0.006111532915383577,0.006101337261497974
1,0.023316681385040283,0.022549986839294434,0.028299987316131592,0.028199970722198486,0.006121422629803419,0.006101337261497974
1,0.023450016975402832,0.022549986839294434,0.028100013732910156,0.028100013732910156,0.006095822900533676,0.006095822900533676
1,0.02265000343322754,0.022549986839294434,0.02770000696182251,0.02770000696182251,0.006083318497985601,0.006083318497985601
1,0.02306663990020752,0.022549986839294434,0.02799999713897705,0.02770000696182251,0.006079811602830887,0.006079811602830887
1,0.023000001907348633,0.022549986839294434,0.028100013732910156,0.02770000696182251,0.006061173975467682,0.006061173975467682
1,0.022916674613952637,0.022549986839294434,0.027899980545043945,0.02770000696182251,0.006057260558009148,0.006057260558009148
1,0.02263331413269043,0.022549986839294434,0.028299987316131592,0.02770000696182251,0.006056911312043667,0.006056911312043667
1,0.02240002155303955,0.02240002155303955,0.028599977493286133,0.02770000696182251,0.0060419961810112,0.0060419961810112
1,0.022583305835723877,0.02240002155303955,0.028299987316131592,0.02770000696182251,0.006041097454726696,0.006041097454726696
1,0.022433340549468994,0.02240002155303955,0.02799999713897705,0.02770000696182251,0.0060278126038610935,0.0060278126038610935
1,0.023116648197174072,0.02240002155303955,0.028199970722198486,0.02770000696182251,0.006040607113391161,0.0060278126038610935
1,0.0225333571434021,0.02240002155303955,0.028199970722198486,0.02770000696182251,0.006041181273758411,0.0060278126038610935
1,0.023299992084503174,0.02240002155303955,0.02799999713897705,0.02770000696182251,0.00604784581810236,0.0060278126038610935
