,Test_Error_av,Min_Test_Error_av,Test_Error_max,Min_Test_Error_max
1,0.15060001611709595,0.15060001611709595,0.1970999836921692,0.1970999836921692
1,0.11269998550415039,0.11269998550415039,0.14340001344680786,0.14340001344680786
1,0.08890002965927124,0.08890002965927124,0.12139999866485596,0.12139999866485596
1,0.08740001916885376,0.08740001916885376,0.11680001020431519,0.11680001020431519
1,0.08060002326965332,0.08060002326965332,0.10540002584457397,0.10540002584457397
1,0.07590001821517944,0.07590001821517944,0.09850001335144043,0.09850001335144043
1,0.07239997386932373,0.07239997386932373,0.09810000658035278,0.09810000658035278
1,0.07270002365112305,0.07239997386932373,0.09270000457763672,0.09270000457763672
1,0.07179999351501465,0.07179999351501465,0.09589999914169312,0.09270000457763672
1,0.07059997320175171,0.07059997320175171,0.0965999960899353,0.09270000457763672
1,0.06950002908706665,0.06950002908706665,0.09609997272491455,0.09270000457763672
1,0.06610000133514404,0.06610000133514404,0.09049999713897705,0.09049999713897705
1,0.0666000247001648,0.06610000133514404,0.09280002117156982,0.09049999713897705
1,0.0658000111579895,0.0658000111579895,0.09179997444152832,0.09049999713897705
1,0.06559997797012329,0.06559997797012329,0.09060001373291016,0.09049999713897705
1,0.06279999017715454,0.06279999017715454,0.09060001373291016,0.09049999713897705
1,0.06300002336502075,0.06279999017715454,0.0875999927520752,0.0875999927520752
1,0.06389999389648438,0.06279999017715454,0.09039998054504395,0.0875999927520752
1,0.06309998035430908,0.06279999017715454,0.08829998970031738,0.0875999927520752
1,0.06330001354217529,0.06279999017715454,0.09160000085830688,0.0875999927520752
1,0.06419998407363892,0.06279999017715454,0.08960002660751343,0.0875999927520752
1,0.06319999694824219,0.06279999017715454,0.09060001373291016,0.0875999927520752
1,0.06360000371932983,0.06279999017715454,0.08920001983642578,0.0875999927520752
1,0.06309998035430908,0.06279999017715454,0.08910000324249268,0.0875999927520752
1,0.06389999389648438,0.06279999017715454,0.09160000085830688,0.0875999927520752
1,0.062300026416778564,0.062300026416778564,0.08859997987747192,0.0875999927520752
1,0.06400001049041748,0.062300026416778564,0.08939999341964722,0.0875999927520752
1,0.0626000165939331,0.062300026416778564,0.09060001373291016,0.0875999927520752
1,0.06120002269744873,0.06120002269744873,0.08829998970031738,0.0875999927520752
1,0.06150001287460327,0.06120002269744873,0.08819997310638428,0.0875999927520752
