,Train_Class_Error,Min_Train_Class_Error,Final_Test_Error,Min_Final_Test_Error,Final_Test_Loss,Min_Final_Test_Loss
1,0.9375,0.9375,0.579800009727478,0.579800009727478,2.296006202697754,2.296006202697754
1,0.5724999904632568,0.5724999904632568,0.20550000667572021,0.20550000667572021,2.288783550262451,2.288783550262451
1,0.17666667699813843,0.17666667699813843,0.11599999666213989,0.11599999666213989,2.281130313873291,2.281130313873291
1,0.09666669368743896,0.09666669368743896,0.09619998931884766,0.09619998931884766,2.2730133533477783,2.2730133533477783
1,0.0808333158493042,0.0808333158493042,0.08619999885559082,0.08619999885559082,2.264333963394165,2.264333963394165
1,0.06916666030883789,0.06916666030883789,0.08039999008178711,0.08039999008178711,2.255218982696533,2.255218982696533
1,0.0625,0.0625,0.07700002193450928,0.07700002193450928,2.245577812194824,2.245577812194824
1,0.056666672229766846,0.056666672229766846,0.07480001449584961,0.07480001449584961,2.2354462146759033,2.2354462146759033
1,0.05750000476837158,0.056666672229766846,0.07340002059936523,0.07340002059936523,2.2247509956359863,2.2247509956359863
1,0.05583333969116211,0.05583333969116211,0.07209998369216919,0.07209998369216919,2.2133772373199463,2.2133772373199463
1,0.05416667461395264,0.05416667461395264,0.07160001993179321,0.07160001993179321,2.201746940612793,2.201746940612793
1,0.0533333420753479,0.0533333420753479,0.07090002298355103,0.07090002298355103,2.1895053386688232,2.1895053386688232
1,0.052500009536743164,0.052500009536743164,0.07039999961853027,0.07039999961853027,2.176703691482544,2.176703691482544
1,0.05166667699813843,0.05166667699813843,0.06970000267028809,0.06970000267028809,2.1636624336242676,2.1636624336242676
1,0.052500009536743164,0.05166667699813843,0.06919997930526733,0.06919997930526733,2.1500473022460938,2.1500473022460938
1,0.05166667699813843,0.05166667699813843,0.06840002536773682,0.06840002536773682,2.1359729766845703,2.1359729766845703
1,0.04916667938232422,0.04916667938232422,0.06800001859664917,0.06800001859664917,2.1215529441833496,2.1215529441833496
1,0.04833334684371948,0.04833334684371948,0.06690001487731934,0.06690001487731934,2.1066746711730957,2.1066746711730957
1,0.04666668176651001,0.04666668176651001,0.06620001792907715,0.06620001792907715,2.0916686058044434,2.0916686058044434
1,0.04666668176651001,0.04666668176651001,0.06470000743865967,0.06470000743865967,2.076388120651245,2.076388120651245
1,0.04666668176651001,0.04666668176651001,0.06389999389648438,0.06389999389648438,2.060473918914795,2.060473918914795
1,0.04833334684371948,0.04666668176651001,0.06309998035430908,0.06309998035430908,2.0452890396118164,2.0452890396118164
1,0.04833334684371948,0.04666668176651001,0.062099993228912354,0.062099993228912354,2.029238224029541,2.029238224029541
1,0.05083334445953369,0.04666668176651001,0.06190001964569092,0.06190001964569092,2.0134332180023193,2.0134332180023193
1,0.04833334684371948,0.04666668176651001,0.06050002574920654,0.06050002574920654,1.9978864192962646,1.9978864192962646
1,0.047500014305114746,0.04666668176651001,0.060100018978118896,0.060100018978118896,1.9818233251571655,1.9818233251571655
1,0.04500001668930054,0.04500001668930054,0.06000000238418579,0.06000000238418579,1.9663699865341187,1.9663699865341187
1,0.04500001668930054,0.04500001668930054,0.0591999888420105,0.0591999888420105,1.950587272644043,1.950587272644043
1,0.04500001668930054,0.04500001668930054,0.05900001525878906,0.05900001525878906,1.9348182678222656,1.9348182678222656
1,0.04583334922790527,0.04500001668930054,0.058300018310546875,0.058300018310546875,1.9196830987930298,1.9196830987930298
1,0.04500001668930054,0.04500001668930054,0.05750000476837158,0.05750000476837158,1.905025839805603,1.905025839805603
1,0.04583334922790527,0.04500001668930054,0.057099997997283936,0.057099997997283936,1.8903963565826416,1.8903963565826416
1,0.04583334922790527,0.04500001668930054,0.05669999122619629,0.05669999122619629,1.8760402202606201,1.8760402202606201
1,0.04500001668930054,0.04500001668930054,0.05610001087188721,0.05610001087188721,1.8616421222686768,1.8616421222686768
