,One2one_av_Error,Min_One2one_av,One2one_max_Error,Min_One2one_max_Error
1,0.19419997930526733,0.19419997930526733,0.3174999952316284,0.3174999952316284
1,0.15399998426437378,0.15399998426437378,0.22219997644424438,0.22219997644424438
1,0.13830000162124634,0.13830000162124634,0.17949998378753662,0.17949998378753662
1,0.11959999799728394,0.11959999799728394,0.15570002794265747,0.15570002794265747
1,0.10579997301101685,0.10579997301101685,0.1402999758720398,0.1402999758720398
1,0.09789997339248657,0.09789997339248657,0.1305999755859375,0.1305999755859375
1,0.09210002422332764,0.09210002422332764,0.12250000238418579,0.12250000238418579
1,0.08749997615814209,0.08749997615814209,0.11690002679824829,0.11690002679824829
1,0.07990002632141113,0.07990002632141113,0.1129000186920166,0.1129000186920166
1,0.07609999179840088,0.07609999179840088,0.10769999027252197,0.10769999027252197
1,0.07279998064041138,0.07279998064041138,0.10259997844696045,0.10259997844696045
1,0.07489997148513794,0.07279998064041138,0.10360002517700195,0.10259997844696045
1,0.07050001621246338,0.07050001621246338,0.0965999960899353,0.0965999960899353
1,0.06779998540878296,0.06779998540878296,0.09689998626708984,0.0965999960899353
1,0.06859999895095825,0.06779998540878296,0.09640002250671387,0.09640002250671387
1,0.06749999523162842,0.06749999523162842,0.09520000219345093,0.09520000219345093
1,0.06410002708435059,0.06410002708435059,0.09299999475479126,0.09299999475479126
1,0.06349998712539673,0.06349998712539673,0.09689998626708984,0.09299999475479126
1,0.062399983406066895,0.062399983406066895,0.09399998188018799,0.09299999475479126
1,0.06360000371932983,0.062399983406066895,0.09520000219345093,0.09299999475479126
1,0.06269997358322144,0.062399983406066895,0.09509998559951782,0.09299999475479126
1,0.0626000165939331,0.062399983406066895,0.09369999170303345,0.09299999475479126
1,0.061100006103515625,0.061100006103515625,0.09280002117156982,0.09280002117156982
1,0.062399983406066895,0.061100006103515625,0.09450000524520874,0.09280002117156982
1,0.061399996280670166,0.061100006103515625,0.09399998188018799,0.09280002117156982
1,0.06220000982284546,0.061100006103515625,0.0942000150680542,0.09280002117156982
1,0.06019997596740723,0.06019997596740723,0.09399998188018799,0.09280002117156982
1,0.0626000165939331,0.06019997596740723,0.0932999849319458,0.09280002117156982
1,0.0625,0.06019997596740723,0.09439998865127563,0.09280002117156982
1,0.06120002269744873,0.06019997596740723,0.09369999170303345,0.09280002117156982
1,0.060800015926361084,0.06019997596740723,0.09369999170303345,0.09280002117156982
1,0.06059998273849487,0.06019997596740723,0.09289997816085815,0.09280002117156982
1,0.060100018978118896,0.060100018978118896,0.09149998426437378,0.09149998426437378
1,0.061100006103515625,0.060100018978118896,0.09589999914169312,0.09149998426437378
1,0.06150001287460327,0.060100018978118896,0.09479999542236328,0.09149998426437378
1,0.06059998273849487,0.060100018978118896,0.09320002794265747,0.09149998426437378
1,0.060100018978118896,0.060100018978118896,0.0942000150680542,0.09149998426437378
1,0.06099998950958252,0.060100018978118896,0.09670001268386841,0.09149998426437378
1,0.06050002574920654,0.060100018978118896,0.09539997577667236,0.09149998426437378
1,0.06169998645782471,0.060100018978118896,0.09619998931884766,0.09149998426437378
1,0.060100018978118896,0.060100018978118896,0.0932999849319458,0.09149998426437378
1,0.05949997901916504,0.05949997901916504,0.09530001878738403,0.09149998426437378
1,0.059899985790252686,0.05949997901916504,0.09439998865127563,0.09149998426437378
1,0.06050002574920654,0.05949997901916504,0.09619998931884766,0.09149998426437378
1,0.06029999256134033,0.05949997901916504,0.09600001573562622,0.09149998426437378
1,0.0591999888420105,0.0591999888420105,0.09460002183914185,0.09149998426437378
1,0.0591999888420105,0.0591999888420105,0.0965999960899353,0.09149998426437378
1,0.0591999888420105,0.0591999888420105,0.09469997882843018,0.09149998426437378
1,0.061100006103515625,0.0591999888420105,0.09769999980926514,0.09149998426437378
1,0.06150001287460327,0.0591999888420105,0.09609997272491455,0.09149998426437378
1,0.05940002202987671,0.0591999888420105,0.09640002250671387,0.09149998426437378
1,0.060899972915649414,0.0591999888420105,0.09829998016357422,0.09149998426437378
1,0.06040000915527344,0.0591999888420105,0.09729999303817749,0.09149998426437378
1,0.059599995613098145,0.0591999888420105,0.09469997882843018,0.09149998426437378
1,0.06099998950958252,0.0591999888420105,0.09780001640319824,0.09149998426437378
1,0.06190001964569092,0.0591999888420105,0.09509998559951782,0.09149998426437378
1,0.059899985790252686,0.0591999888420105,0.09450000524520874,0.09149998426437378
1,0.06040000915527344,0.0591999888420105,0.09950000047683716,0.09149998426437378
1,0.06069999933242798,0.0591999888420105,0.09670001268386841,0.09149998426437378
1,0.06199997663497925,0.0591999888420105,0.09759998321533203,0.09149998426437378
