,Train_Error,Min_Train_Error,Test_Error,Min_Test_Error
1,0.8799999952316284,0.8799999952316284,0.4973999857902527,0.4973999857902527
1,0.4300000071525574,0.4300000071525574,0.5418000221252441,0.4973999857902527
1,0.38999998569488525,0.38999998569488525,0.4505000114440918,0.4505000114440918
1,0.19999998807907104,0.19999998807907104,0.3116000294685364,0.3116000294685364
1,0.1499999761581421,0.1499999761581421,0.3361999988555908,0.3116000294685364
1,0.11000001430511475,0.11000001430511475,0.29339998960494995,0.29339998960494995
1,0.050000011920928955,0.050000011920928955,0.27319997549057007,0.27319997549057007
1,0.06000000238418579,0.050000011920928955,0.26670002937316895,0.26670002937316895
1,0.029999971389770508,0.029999971389770508,0.2572000026702881,0.2572000026702881
1,0.019999980926513672,0.019999980926513672,0.2864999771118164,0.2572000026702881
1,0.009999990463256836,0.009999990463256836,0.2419000267982483,0.2419000267982483
1,0.0,0.0,0.23869997262954712,0.23869997262954712
1,0.009999990463256836,0.0,0.23089998960494995,0.23089998960494995
1,0.0,0.0,0.24500000476837158,0.23089998960494995
1,0.0,0.0,0.2857999801635742,0.23089998960494995
1,0.0,0.0,0.23680001497268677,0.23089998960494995
1,0.0,0.0,0.2069000005722046,0.2069000005722046
1,0.0,0.0,0.20169997215270996,0.20169997215270996
1,0.0,0.0,0.19900000095367432,0.19900000095367432
1,0.0,0.0,0.211899995803833,0.19900000095367432
1,0.0,0.0,0.2190999984741211,0.19900000095367432
1,0.0,0.0,0.2175999879837036,0.19900000095367432
1,0.0,0.0,0.19880002737045288,0.19880002737045288
1,0.0,0.0,0.19770002365112305,0.19770002365112305
1,0.0,0.0,0.22039997577667236,0.19770002365112305
1,0.0,0.0,0.22920000553131104,0.19770002365112305
1,0.0,0.0,0.21950000524520874,0.19770002365112305
1,0.0,0.0,0.22119998931884766,0.19770002365112305
1,0.0,0.0,0.22280001640319824,0.19770002365112305
1,0.0,0.0,0.22610002756118774,0.19770002365112305
1,0.0,0.0,0.23229998350143433,0.19770002365112305
1,0.0,0.0,0.22979998588562012,0.19770002365112305
1,0.0,0.0,0.22710001468658447,0.19770002365112305
1,0.0,0.0,0.2217000126838684,0.19770002365112305
1,0.0,0.0,0.23420000076293945,0.19770002365112305
1,0.0,0.0,0.2339000105857849,0.19770002365112305
1,0.0,0.0,0.22100001573562622,0.19770002365112305
1,0.0,0.0,0.2134000062942505,0.19770002365112305
1,0.0,0.0,0.2062000036239624,0.19770002365112305
1,0.0,0.0,0.20709997415542603,0.19770002365112305
1,0.0,0.0,0.22009998559951782,0.19770002365112305
1,0.0,0.0,0.22009998559951782,0.19770002365112305
1,0.0,0.0,0.2127000093460083,0.19770002365112305
1,0.0,0.0,0.21100002527236938,0.19770002365112305
1,0.0,0.0,0.20840001106262207,0.19770002365112305
1,0.0,0.0,0.20020002126693726,0.19770002365112305
1,0.0,0.0,0.1965000033378601,0.1965000033378601
1,0.0,0.0,0.20569998025894165,0.1965000033378601
1,0.0,0.0,0.21490001678466797,0.1965000033378601
1,0.0,0.0,0.20740002393722534,0.1965000033378601
1,0.0,0.0,0.2027999758720398,0.1965000033378601
1,0.0,0.0,0.2027999758720398,0.1965000033378601
1,0.0,0.0,0.19599997997283936,0.19599997997283936
1,0.0,0.0,0.19139999151229858,0.19139999151229858
1,0.0,0.0,0.19120001792907715,0.19120001792907715
1,0.0,0.0,0.19279998540878296,0.19120001792907715
1,0.0,0.0,0.19040000438690186,0.19040000438690186
1,0.0,0.0,0.19760000705718994,0.19040000438690186
1,0.0,0.0,0.1995999813079834,0.19040000438690186
1,0.0,0.0,0.1995999813079834,0.19040000438690186
1,0.0,0.0,0.19630002975463867,0.19040000438690186
1,0.0,0.0,0.20880001783370972,0.19040000438690186
1,0.0,0.0,0.2027999758720398,0.19040000438690186
1,0.0,0.0,0.194100022315979,0.19040000438690186
1,0.0,0.0,0.19359999895095825,0.19040000438690186
1,0.0,0.0,0.19459998607635498,0.19040000438690186
1,0.0,0.0,0.20169997215270996,0.19040000438690186
1,0.0,0.0,0.20560002326965332,0.19040000438690186
1,0.0,0.0,0.20459997653961182,0.19040000438690186
1,0.0,0.0,0.20459997653961182,0.19040000438690186
1,0.0,0.0,0.20190000534057617,0.19040000438690186
1,0.0,0.0,0.20329999923706055,0.19040000438690186
1,0.0,0.0,0.21740001440048218,0.19040000438690186
1,0.0,0.0,0.21240001916885376,0.19040000438690186
1,0.0,0.0,0.20139998197555542,0.19040000438690186
1,0.0,0.0,0.19199997186660767,0.19040000438690186
1,0.0,0.0,0.19129997491836548,0.19040000438690186
1,0.0,0.0,0.1909000277519226,0.19040000438690186
1,0.0,0.0,0.19819998741149902,0.19040000438690186
1,0.0,0.0,0.20349997282028198,0.19040000438690186
1,0.0,0.0,0.2013000249862671,0.19040000438690186
1,0.0,0.0,0.19499999284744263,0.19040000438690186
1,0.0,0.0,0.18449997901916504,0.18449997901916504
1,0.0,0.0,0.1899999976158142,0.18449997901916504
1,0.0,0.0,0.2021999955177307,0.18449997901916504
1,0.0,0.0,0.2093999981880188,0.18449997901916504
1,0.0,0.0,0.20850002765655518,0.18449997901916504
1,0.0,0.0,0.19940000772476196,0.18449997901916504
1,0.0,0.0,0.20399999618530273,0.18449997901916504
1,0.0,0.0,0.2037000060081482,0.18449997901916504
1,0.0,0.0,0.19819998741149902,0.18449997901916504
1,0.0,0.0,0.19590002298355103,0.18449997901916504
1,0.0,0.0,0.19529998302459717,0.18449997901916504
1,0.0,0.0,0.1908000111579895,0.18449997901916504
1,0.0,0.0,0.18709999322891235,0.18449997901916504
1,0.0,0.0,0.1866999864578247,0.18449997901916504
1,0.0,0.0,0.18919998407363892,0.18449997901916504
1,0.0,0.0,0.19359999895095825,0.18449997901916504
1,0.0,0.0,0.19940000772476196,0.18449997901916504
1,0.0,0.0,0.210099995136261,0.18449997901916504
