,Train_Error,Min_Train_Error,Test_Error,Min_Test_Error
1,0.2574833035469055,0.2574833035469055,0.11760002374649048,0.11760002374649048
1,0.12190002202987671,0.12190002202987671,0.0932999849319458,0.0932999849319458
1,0.10269999504089355,0.10269999504089355,0.08219999074935913,0.08219999074935913
1,0.09025001525878906,0.09025001525878906,0.07279998064041138,0.07279998064041138
1,0.08259999752044678,0.08259999752044678,0.0666000247001648,0.0666000247001648
1,0.07536667585372925,0.07536667585372925,0.06180000305175781,0.06180000305175781
1,0.06929999589920044,0.06929999589920044,0.05779999494552612,0.05779999494552612
1,0.06430000066757202,0.06430000066757202,0.05320000648498535,0.05320000648498535
1,0.05988335609436035,0.05988335609436035,0.05080002546310425,0.05080002546310425
1,0.055616676807403564,0.055616676807403564,0.04739999771118164,0.04739999771118164
1,0.05331665277481079,0.05331665277481079,0.044700026512145996,0.044700026512145996
1,0.0498499870300293,0.0498499870300293,0.04250001907348633,0.04250001907348633
1,0.047200024127960205,0.047200024127960205,0.040199995040893555,0.040199995040893555
1,0.04508334398269653,0.04508334398269653,0.037400007247924805,0.037400007247924805
1,0.042766690254211426,0.042766690254211426,0.03700000047683716,0.03700000047683716
1,0.04073333740234375,0.04073333740234375,0.03600001335144043,0.03600001335144043
1,0.038883328437805176,0.038883328437805176,0.03479999303817749,0.03479999303817749
1,0.037266671657562256,0.037266671657562256,0.033100008964538574,0.033100008964538574
1,0.035883307456970215,0.035883307456970215,0.031899988651275635,0.031899988651275635
1,0.03530001640319824,0.03530001640319824,0.03149998188018799,0.03149998188018799
1,0.03374999761581421,0.03374999761581421,0.0307999849319458,0.0307999849319458
1,0.03213334083557129,0.03213334083557129,0.030099987983703613,0.030099987983703613
1,0.03194999694824219,0.03194999694824219,0.028100013732910156,0.028100013732910156
1,0.030300021171569824,0.030300021171569824,0.027899980545043945,0.027899980545043945
1,0.02899998426437378,0.02899998426437378,0.028199970722198486,0.027899980545043945
1,0.02886664867401123,0.02886664867401123,0.027000010013580322,0.027000010013580322
1,0.027633309364318848,0.027633309364318848,0.02649998664855957,0.02649998664855957
1,0.027633309364318848,0.027633309364318848,0.02679997682571411,0.02649998664855957
1,0.02683335542678833,0.02683335542678833,0.025799989700317383,0.025799989700317383
1,0.02544999122619629,0.02544999122619629,0.025499999523162842,0.025499999523162842
1,0.025366663932800293,0.025366663932800293,0.024800002574920654,0.024800002574920654
1,0.025049984455108643,0.025049984455108643,0.024299979209899902,0.024299979209899902
1,0.024049997329711914,0.024049997329711914,0.024299979209899902,0.024299979209899902
1,0.023800015449523926,0.023800015449523926,0.023599982261657715,0.023599982261657715
1,0.02281665802001953,0.02281665802001953,0.023599982261657715,0.023599982261657715
1,0.022133350372314453,0.022133350372314453,0.022599995136260986,0.022599995136260986
1,0.0218999981880188,0.0218999981880188,0.02340000867843628,0.022599995136260986
1,0.02158331871032715,0.02158331871032715,0.02310001850128174,0.022599995136260986
1,0.021933317184448242,0.02158331871032715,0.021799981594085693,0.021799981594085693
1,0.02148336172103882,0.02148336172103882,0.022599995136260986,0.021799981594085693
1,0.019999980926513672,0.019999980926513672,0.021799981594085693,0.021799981594085693
1,0.01981663703918457,0.01981663703918457,0.021600008010864258,0.021600008010864258
1,0.019766688346862793,0.019766688346862793,0.021000027656555176,0.021000027656555176
1,0.019933342933654785,0.019766688346862793,0.02069997787475586,0.02069997787475586
1,0.018816649913787842,0.018816649913787842,0.02120000123977661,0.02069997787475586
1,0.018983304500579834,0.018816649913787842,0.02060002088546753,0.02060002088546753
1,0.01883333921432495,0.018816649913787842,0.021000027656555176,0.02060002088546753
1,0.01763331890106201,0.01763331890106201,0.020099997520446777,0.020099997520446777
1,0.017666637897491455,0.01763331890106201,0.018999993801116943,0.018999993801116943
1,0.01721668243408203,0.01721668243408203,0.01969999074935913,0.018999993801116943
1,0.01678335666656494,0.01678335666656494,0.018999993801116943,0.018999993801116943
1,0.016499996185302734,0.016499996185302734,0.019200026988983154,0.018999993801116943
1,0.016099989414215088,0.016099989414215088,0.01940000057220459,0.018999993801116943
1,0.016083359718322754,0.016083359718322754,0.01940000057220459,0.018999993801116943
1,0.016083359718322754,0.016083359718322754,0.019299983978271484,0.018999993801116943
1,0.016183316707611084,0.016083359718322754,0.018899977207183838,0.018899977207183838
1,0.015133321285247803,0.015133321285247803,0.017799973487854004,0.017799973487854004
1,0.015550017356872559,0.015133321285247803,0.01840001344680786,0.017799973487854004
1,0.014733314514160156,0.014733314514160156,0.018599987030029297,0.017799973487854004
1,0.015216648578643799,0.014733314514160156,0.018599987030029297,0.017799973487854004
1,0.015183329582214355,0.014733314514160156,0.018599987030029297,0.017799973487854004
1,0.014733314514160156,0.014733314514160156,0.01789999008178711,0.017799973487854004
1,0.014199972152709961,0.014199972152709961,0.01789999008178711,0.017799973487854004
1,0.014183342456817627,0.014183342456817627,0.018000006675720215,0.017799973487854004
1,0.014133334159851074,0.014133334159851074,0.017300009727478027,0.017300009727478027
1,0.014066696166992188,0.014066696166992188,0.01789999008178711,0.017300009727478027
1,0.013716638088226318,0.013716638088226318,0.017400026321411133,0.017300009727478027
1,0.013566672801971436,0.013566672801971436,0.017300009727478027,0.017300009727478027
1,0.0127333402633667,0.0127333402633667,0.017799973487854004,0.017300009727478027
1,0.013249993324279785,0.0127333402633667,0.017099976539611816,0.017099976539611816
1,0.0129166841506958,0.0127333402633667,0.01690000295639038,0.01690000295639038
1,0.012683331966400146,0.012683331966400146,0.016499996185302734,0.016499996185302734
1,0.012899994850158691,0.012683331966400146,0.016200006008148193,0.016200006008148193
1,0.01303333044052124,0.012683331966400146,0.01690000295639038,0.016200006008148193
1,0.012083351612091064,0.012083351612091064,0.0153999924659729,0.0153999924659729
1,0.0127333402633667,0.012083351612091064,0.01569998264312744,0.0153999924659729
1,0.0122833251953125,0.012083351612091064,0.016700029373168945,0.0153999924659729
1,0.011766672134399414,0.011766672134399414,0.015799999237060547,0.0153999924659729
1,0.012216687202453613,0.011766672134399414,0.0153999924659729,0.0153999924659729
1,0.011516690254211426,0.011516690254211426,0.015500009059906006,0.0153999924659729
1,0.01153331995010376,0.011516690254211426,0.01569998264312744,0.0153999924659729
1,0.01109999418258667,0.01109999418258667,0.0163000226020813,0.0153999924659729
1,0.011633336544036865,0.01109999418258667,0.01569998264312744,0.0153999924659729
1,0.011483311653137207,0.01109999418258667,0.015500009059906006,0.0153999924659729
1,0.010999977588653564,0.010999977588653564,0.015200018882751465,0.015200018882751465
1,0.011166691780090332,0.010999977588653564,0.015799999237060547,0.015200018882751465
1,0.010366678237915039,0.010366678237915039,0.015799999237060547,0.015200018882751465
1,0.010716676712036133,0.010366678237915039,0.01569998264312744,0.015200018882751465
1,0.010366678237915039,0.010366678237915039,0.015900015830993652,0.015200018882751465
1,0.010883331298828125,0.010366678237915039,0.01510000228881836,0.01510000228881836
1,0.010066688060760498,0.010066688060760498,0.014999985694885254,0.014999985694885254
1,0.010299980640411377,0.010066688060760498,0.01510000228881836,0.014999985694885254
1,0.010583341121673584,0.010066688060760498,0.015299975872039795,0.014999985694885254
1,0.010133326053619385,0.010066688060760498,0.015200018882751465,0.014999985694885254
1,0.010016679763793945,0.010016679763793945,0.014299988746643066,0.014299988746643066
1,0.009700000286102295,0.009700000286102295,0.015200018882751465,0.014299988746643066
1,0.010083317756652832,0.009700000286102295,0.01510000228881836,0.014299988746643066
1,0.00991666316986084,0.009700000286102295,0.015200018882751465,0.014299988746643066
1,0.00948333740234375,0.00948333740234375,0.014900028705596924,0.014299988746643066
1,0.00950002670288086,0.00948333740234375,0.014500021934509277,0.014299988746643066
1,0.009616672992706299,0.00948333740234375,0.014299988746643066,0.014299988746643066
1,0.009249985218048096,0.009249985218048096,0.014400005340576172,0.014299988746643066
1,0.009100019931793213,0.009100019931793213,0.014500021934509277,0.014299988746643066
1,0.009416639804840088,0.009100019931793213,0.014699995517730713,0.014299988746643066
1,0.008933305740356445,0.008933305740356445,0.014599978923797607,0.014299988746643066
1,0.008433341979980469,0.008433341979980469,0.014199972152709961,0.014199972152709961
1,0.008633315563201904,0.008433341979980469,0.015200018882751465,0.014199972152709961
1,0.008433341979980469,0.008433341979980469,0.014699995517730713,0.014199972152709961
1,0.008916676044464111,0.008433341979980469,0.014299988746643066,0.014199972152709961
1,0.008633315563201904,0.008433341979980469,0.01410001516342163,0.01410001516342163
1,0.008599996566772461,0.008433341979980469,0.014299988746643066,0.01410001516342163
1,0.008583307266235352,0.008433341979980469,0.013700008392333984,0.013700008392333984
1,0.008666694164276123,0.008433341979980469,0.014299988746643066,0.013700008392333984
1,0.008149981498718262,0.008149981498718262,0.01389998197555542,0.013700008392333984
1,0.008166670799255371,0.008149981498718262,0.014299988746643066,0.013700008392333984
1,0.008066654205322266,0.008066654205322266,0.014500021934509277,0.013700008392333984
1,0.007766664028167725,0.007766664028167725,0.014199972152709961,0.013700008392333984
1,0.007583320140838623,0.007583320140838623,0.014299988746643066,0.013700008392333984
1,0.007733345031738281,0.007583320140838623,0.014500021934509277,0.013700008392333984
1,0.00828331708908081,0.007583320140838623,0.014900028705596924,0.013700008392333984
1,0.007483303546905518,0.007483303546905518,0.014199972152709961,0.013700008392333984
1,0.007700026035308838,0.007483303546905518,0.014299988746643066,0.013700008392333984
1,0.007633328437805176,0.007483303546905518,0.013999998569488525,0.013700008392333984
1,0.007583320140838623,0.007483303546905518,0.013499975204467773,0.013499975204467773
1,0.007499992847442627,0.007483303546905518,0.013999998569488525,0.013499975204467773
1,0.0073999762535095215,0.0073999762535095215,0.01389998197555542,0.013499975204467773
1,0.007250010967254639,0.007250010967254639,0.013999998569488525,0.013499975204467773
1,0.007049977779388428,0.007049977779388428,0.014500021934509277,0.013499975204467773
1,0.006983339786529541,0.006983339786529541,0.013999998569488525,0.013499975204467773
1,0.00711667537689209,0.006983339786529541,0.014500021934509277,0.013499975204467773
1,0.00700002908706665,0.006983339786529541,0.014500021934509277,0.013499975204467773
1,0.006933331489562988,0.006933331489562988,0.014699995517730713,0.013499975204467773
1,0.006483316421508789,0.006483316421508789,0.01389998197555542,0.013499975204467773
1,0.006699979305267334,0.006483316421508789,0.013999998569488525,0.013499975204467773
1,0.006566643714904785,0.006483316421508789,0.013999998569488525,0.013499975204467773
1,0.006933331489562988,0.006483316421508789,0.01380002498626709,0.013499975204467773
1,0.006600022315979004,0.006483316421508789,0.01389998197555542,0.013499975204467773
1,0.006483316421508789,0.006483316421508789,0.013300001621246338,0.013300001621246338
1,0.006399989128112793,0.006399989128112793,0.013499975204467773,0.013300001621246338
1,0.006383359432220459,0.006383359432220459,0.013599991798400879,0.013300001621246338
1,0.006416678428649902,0.006383359432220459,0.013599991798400879,0.013300001621246338
1,0.006133317947387695,0.006133317947387695,0.01389998197555542,0.013300001621246338
1,0.006449997425079346,0.006133317947387695,0.013499975204467773,0.013300001621246338
1,0.006399989128112793,0.006133317947387695,0.01389998197555542,0.013300001621246338
1,0.006550014019012451,0.006133317947387695,0.013599991798400879,0.013300001621246338
1,0.006099998950958252,0.006099998950958252,0.01410001516342163,0.013300001621246338
1,0.0062833428382873535,0.006099998950958252,0.014199972152709961,0.013300001621246338
1,0.00625002384185791,0.006099998950958252,0.013599991798400879,0.013300001621246338
1,0.005900025367736816,0.005900025367736816,0.01380002498626709,0.013300001621246338
1,0.006166636943817139,0.005900025367736816,0.013300001621246338,0.013300001621246338
1,0.006150007247924805,0.005900025367736816,0.013400018215179443,0.013300001621246338
1,0.005966663360595703,0.005900025367736816,0.013499975204467773,0.013300001621246338
1,0.006099998950958252,0.005900025367736816,0.01410001516342163,0.013300001621246338
1,0.0059999823570251465,0.005900025367736816,0.013300001621246338,0.013300001621246338
1,0.005966663360595703,0.005900025367736816,0.013199985027313232,0.013199985027313232
1,0.006133317947387695,0.005900025367736816,0.013199985027313232,0.013199985027313232
1,0.005800008773803711,0.005800008773803711,0.013599991798400879,0.013199985027313232
1,0.005883336067199707,0.005800008773803711,0.013599991798400879,0.013199985027313232
1,0.0056833624839782715,0.0056833624839782715,0.013300001621246338,0.013199985027313232
1,0.005416691303253174,0.005416691303253174,0.01380002498626709,0.013199985027313232
1,0.005383312702178955,0.005383312702178955,0.013599991798400879,0.013199985027313232
1,0.005583345890045166,0.005383312702178955,0.013599991798400879,0.013199985027313232
1,0.005583345890045166,0.005383312702178955,0.013100028038024902,0.013100028038024902
1,0.0054833292961120605,0.005383312702178955,0.013000011444091797,0.013000011444091797
1,0.005516648292541504,0.005383312702178955,0.013199985027313232,0.013000011444091797
1,0.00550001859664917,0.005383312702178955,0.013599991798400879,0.013000011444091797
1,0.005200028419494629,0.005200028419494629,0.012899994850158691,0.012899994850158691
1,0.005516648292541504,0.005200028419494629,0.013199985027313232,0.012899994850158691
1,0.005516648292541504,0.005200028419494629,0.013199985027313232,0.012899994850158691
1,0.005050003528594971,0.005050003528594971,0.013700008392333984,0.012899994850158691
1,0.005150020122528076,0.005050003528594971,0.01380002498626709,0.012899994850158691
1,0.00516664981842041,0.005050003528594971,0.013499975204467773,0.012899994850158691
1,0.0051000118255615234,0.005050003528594971,0.013599991798400879,0.012899994850158691
1,0.005283355712890625,0.005050003528594971,0.013499975204467773,0.012899994850158691
1,0.00484997034072876,0.00484997034072876,0.012899994850158691,0.012899994850158691
1,0.005349993705749512,0.00484997034072876,0.01260000467300415,0.01260000467300415
1,0.004983305931091309,0.00484997034072876,0.013000011444091797,0.01260000467300415
1,0.004933357238769531,0.00484997034072876,0.013100028038024902,0.01260000467300415
1,0.00484997034072876,0.00484997034072876,0.01260000467300415,0.01260000467300415
1,0.004766643047332764,0.004766643047332764,0.01380002498626709,0.01260000467300415
1,0.004866659641265869,0.004766643047332764,0.013599991798400879,0.01260000467300415
1,0.0051000118255615234,0.004766643047332764,0.013400018215179443,0.01260000467300415
1,0.004700005054473877,0.004700005054473877,0.013700008392333984,0.01260000467300415
1,0.004966676235198975,0.004700005054473877,0.013700008392333984,0.01260000467300415
1,0.004866659641265869,0.004700005054473877,0.012899994850158691,0.01260000467300415
1,0.005033314228057861,0.004700005054473877,0.013100028038024902,0.01260000467300415
1,0.004666686058044434,0.004666686058044434,0.013000011444091797,0.01260000467300415
1,0.004700005054473877,0.004666686058044434,0.013499975204467773,0.01260000467300415
1,0.004633307456970215,0.004633307456970215,0.013199985027313232,0.01260000467300415
