,Train_Class_Error,Min_Train_Class_Error,Final_Test_Error,Min_Final_Test_Error,Final_Test_Loss,Min_Final_Test_Loss
1,0.3346666693687439,0.3346666693687439,0.19040000438690186,0.19040000438690186,1.0760287046432495,1.0760287046432495
1,0.16200000047683716,0.16200000047683716,0.1477000117301941,0.1477000117301941,0.7087017297744751,0.7087017297744751
1,0.13300001621246338,0.13300001621246338,0.13370001316070557,0.13370001316070557,0.5784534811973572,0.5784534811973572
1,0.11433333158493042,0.11433333158493042,0.12120002508163452,0.12120002508163452,0.5130782723426819,0.5130782723426819
1,0.10266667604446411,0.10266667604446411,0.11650002002716064,0.11650002002716064,0.47711095213890076,0.47711095213890076
1,0.09666669368743896,0.09666669368743896,0.109499990940094,0.109499990940094,0.4486932158470154,0.4486932158470154
1,0.08933335542678833,0.08933335542678833,0.10659998655319214,0.10659998655319214,0.4325895309448242,0.4325895309448242
1,0.08433336019515991,0.08433336019515991,0.10449999570846558,0.10449999570846558,0.41764092445373535,0.41764092445373535
1,0.08099997043609619,0.08099997043609619,0.1031000018119812,0.1031000018119812,0.4076760709285736,0.4076760709285736
1,0.08033335208892822,0.08033335208892822,0.10140001773834229,0.10140001773834229,0.3984023928642273,0.3984023928642273
1,0.078000009059906,0.078000009059906,0.10039997100830078,0.10039997100830078,0.391470342874527,0.391470342874527
1,0.07466667890548706,0.07466667890548706,0.09880000352859497,0.09880000352859497,0.3847328722476959,0.3847328722476959
1,0.07300001382827759,0.07300001382827759,0.0974000096321106,0.0974000096321106,0.37978053092956543,0.37978053092956543
1,0.06966668367385864,0.06966668367385864,0.0975000262260437,0.0974000096321106,0.3757125735282898,0.3757125735282898
1,0.06999999284744263,0.06966668367385864,0.09609997272491455,0.09609997272491455,0.37259605526924133,0.37259605526924133
1,0.0690000057220459,0.0690000057220459,0.09500002861022949,0.09500002861022949,0.36859577894210815,0.36859577894210815
1,0.06833332777023315,0.06833332777023315,0.09560000896453857,0.09500002861022949,0.3658474087715149,0.3658474087715149
1,0.06599998474121094,0.06599998474121094,0.09539997577667236,0.09500002861022949,0.36345264315605164,0.36345264315605164
1,0.0653333067893982,0.0653333067893982,0.0934000015258789,0.0934000015258789,0.3613768219947815,0.3613768219947815
1,0.06466668844223022,0.06466668844223022,0.09310001134872437,0.09310001134872437,0.35941556096076965,0.35941556096076965
1,0.06333333253860474,0.06333333253860474,0.0942000150680542,0.09310001134872437,0.357654333114624,0.357654333114624
1,0.06333333253860474,0.06333333253860474,0.09299999475479126,0.09299999475479126,0.3558587431907654,0.3558587431907654
1,0.061666667461395264,0.061666667461395264,0.09369999170303345,0.09299999475479126,0.35473304986953735,0.35473304986953735
1,0.06300002336502075,0.061666667461395264,0.09310001134872437,0.09299999475479126,0.35399848222732544,0.35399848222732544
1,0.061666667461395264,0.061666667461395264,0.09259998798370361,0.09259998798370361,0.35280510783195496,0.35280510783195496
1,0.06199997663497925,0.061666667461395264,0.09219998121261597,0.09219998121261597,0.35180726647377014,0.35180726647377014
1,0.060666680335998535,0.060666680335998535,0.09200000762939453,0.09200000762939453,0.3505770266056061,0.3505770266056061
1,0.05966669321060181,0.05966669321060181,0.09170001745223999,0.09170001745223999,0.3498520255088806,0.3498520255088806
1,0.06000000238418579,0.05966669321060181,0.09210002422332764,0.09170001745223999,0.3493507206439972,0.3493507206439972
