,One2one_av_Error,Min_One2one_av,One2one_max_Error,Min_One2one_max_Error
1,0.24330002069473267,0.24330002069473267,0.38499999046325684,0.38499999046325684
1,0.19929999113082886,0.19929999113082886,0.36979997158050537,0.36979997158050537
1,0.16519999504089355,0.16519999504089355,0.2750999927520752,0.2750999927520752
1,0.13669997453689575,0.13669997453689575,0.24000000953674316,0.24000000953674316
1,0.12620002031326294,0.12620002031326294,0.20590001344680786,0.20590001344680786
1,0.11540001630783081,0.11540001630783081,0.18480002880096436,0.18480002880096436
1,0.10790002346038818,0.10790002346038818,0.16860002279281616,0.16860002279281616
1,0.1021999716758728,0.1021999716758728,0.1621999740600586,0.1621999740600586
1,0.09579998254776001,0.09579998254776001,0.1535000205039978,0.1535000205039978
1,0.09079998731613159,0.09079998731613159,0.1437000036239624,0.1437000036239624
1,0.08710002899169922,0.08710002899169922,0.13679999113082886,0.13679999113082886
1,0.08740001916885376,0.08710002899169922,0.13120001554489136,0.13120001554489136
1,0.080299973487854,0.080299973487854,0.1248999834060669,0.1248999834060669
1,0.08270001411437988,0.080299973487854,0.12550002336502075,0.1248999834060669
1,0.07980000972747803,0.07980000972747803,0.1208999752998352,0.1208999752998352
1,0.07959997653961182,0.07959997653961182,0.1216999888420105,0.1208999752998352
1,0.07660001516342163,0.07660001516342163,0.11830002069473267,0.11830002069473267
1,0.07590001821517944,0.07590001821517944,0.11830002069473267,0.11830002069473267
1,0.07400000095367432,0.07400000095367432,0.11460000276565552,0.11460000276565552
1,0.07300001382827759,0.07300001382827759,0.11619997024536133,0.11460000276565552
1,0.06989997625350952,0.06989997625350952,0.11299997568130493,0.11299997568130493
1,0.071399986743927,0.06989997625350952,0.11299997568130493,0.11299997568130493
1,0.06940001249313354,0.06940001249313354,0.11210000514984131,0.11210000514984131
1,0.07029998302459717,0.06940001249313354,0.11030000448226929,0.11030000448226929
1,0.07010000944137573,0.06940001249313354,0.10900002717971802,0.10900002717971802
1,0.06940001249313354,0.06940001249313354,0.10930001735687256,0.10900002717971802
1,0.06919997930526733,0.06919997930526733,0.10670000314712524,0.10670000314712524
1,0.06800001859664917,0.06800001859664917,0.10610002279281616,0.10610002279281616
1,0.06720000505447388,0.06720000505447388,0.10420000553131104,0.10420000553131104
1,0.06699997186660767,0.06699997186660767,0.10229998826980591,0.10229998826980591
1,0.0656999945640564,0.0656999945640564,0.10170000791549683,0.10170000791549683
1,0.06519997119903564,0.06519997119903564,0.10189998149871826,0.10170000791549683
1,0.06620001792907715,0.06519997119903564,0.10089999437332153,0.10089999437332153
1,0.06449997425079346,0.06449997425079346,0.1007000207901001,0.1007000207901001
1,0.06470000743865967,0.06449997425079346,0.09829998016357422,0.09829998016357422
1,0.06470000743865967,0.06449997425079346,0.10000002384185791,0.09829998016357422
1,0.06470000743865967,0.06449997425079346,0.09869998693466187,0.09829998016357422
1,0.06379997730255127,0.06379997730255127,0.09799998998641968,0.09799998998641968
1,0.06349998712539673,0.06349998712539673,0.09829998016357422,0.09799998998641968
1,0.06449997425079346,0.06349998712539673,0.0974000096321106,0.0974000096321106
1,0.06349998712539673,0.06349998712539673,0.09839999675750732,0.0974000096321106
1,0.06269997358322144,0.06269997358322144,0.0964999794960022,0.0964999794960022
1,0.06339997053146362,0.06269997358322144,0.09700000286102295,0.0964999794960022
1,0.06309998035430908,0.06269997358322144,0.09719997644424438,0.0964999794960022
1,0.06319999694824219,0.06269997358322144,0.09680002927780151,0.0964999794960022
1,0.06309998035430908,0.06269997358322144,0.09549999237060547,0.09549999237060547
1,0.06309998035430908,0.06269997358322144,0.09670001268386841,0.09549999237060547
1,0.0625,0.0625,0.09589999914169312,0.09549999237060547
1,0.06220000982284546,0.06220000982284546,0.09539997577667236,0.09539997577667236
1,0.0626000165939331,0.06220000982284546,0.09539997577667236,0.09539997577667236
1,0.06319999694824219,0.06220000982284546,0.09479999542236328,0.09479999542236328
1,0.06199997663497925,0.06199997663497925,0.09579998254776001,0.09479999542236328
1,0.06220000982284546,0.06199997663497925,0.09769999980926514,0.09479999542236328
1,0.06290000677108765,0.06199997663497925,0.09539997577667236,0.09479999542236328
1,0.062099993228912354,0.06199997663497925,0.09589999914169312,0.09479999542236328
1,0.06199997663497925,0.06199997663497925,0.09609997272491455,0.09479999542236328
1,0.0625,0.06199997663497925,0.09530001878738403,0.09479999542236328
1,0.062300026416778564,0.06199997663497925,0.09570002555847168,0.09479999542236328
1,0.062099993228912354,0.06199997663497925,0.09500002861022949,0.09479999542236328
1,0.06150001287460327,0.06150001287460327,0.09509998559951782,0.09479999542236328
