,Test_Error_av,Min_Test_Error_av,Test_Error_max,Min_Test_Error_max
1,0.17470002174377441,0.17470002174377441,0.281499981880188,0.281499981880188
1,0.13929998874664307,0.13929998874664307,0.20709997415542603,0.20709997415542603
1,0.12349998950958252,0.12349998950958252,0.17390000820159912,0.17390000820159912
1,0.10659998655319214,0.10659998655319214,0.14990001916885376,0.14990001916885376
1,0.09609997272491455,0.09609997272491455,0.1340000033378601,0.1340000033378601
1,0.09280002117156982,0.09280002117156982,0.1308000087738037,0.1308000087738037
1,0.08740001916885376,0.08740001916885376,0.1274999976158142,0.1274999976158142
1,0.08420002460479736,0.08420002460479736,0.12349998950958252,0.12349998950958252
1,0.08219999074935913,0.08219999074935913,0.11919999122619629,0.11919999122619629
1,0.08170002698898315,0.08170002698898315,0.11460000276565552,0.11460000276565552
1,0.07999998331069946,0.07999998331069946,0.11680001020431519,0.11460000276565552
1,0.07599997520446777,0.07599997520446777,0.11089998483657837,0.11089998483657837
1,0.07419997453689575,0.07419997453689575,0.10900002717971802,0.10900002717971802
1,0.07209998369216919,0.07209998369216919,0.10610002279281616,0.10610002279281616
1,0.07130002975463867,0.07130002975463867,0.10369998216629028,0.10369998216629028
1,0.07059997320175171,0.07059997320175171,0.10699999332427979,0.10369998216629028
1,0.06980001926422119,0.06980001926422119,0.10479998588562012,0.10369998216629028
1,0.07010000944137573,0.06980001926422119,0.10479998588562012,0.10369998216629028
1,0.06940001249313354,0.06940001249313354,0.10509997606277466,0.10369998216629028
1,0.06970000267028809,0.06940001249313354,0.10430002212524414,0.10369998216629028
1,0.06959998607635498,0.06940001249313354,0.10670000314712524,0.10369998216629028
1,0.06929999589920044,0.06929999589920044,0.10610002279281616,0.10369998216629028
1,0.06889998912811279,0.06889998912811279,0.10530000925064087,0.10369998216629028
1,0.06870001554489136,0.06870001554489136,0.10500001907348633,0.10369998216629028
1,0.06779998540878296,0.06779998540878296,0.10379999876022339,0.10369998216629028
1,0.0666000247001648,0.0666000247001648,0.1029999852180481,0.1029999852180481
1,0.0666000247001648,0.0666000247001648,0.10259997844696045,0.10259997844696045
1,0.06669998168945312,0.0666000247001648,0.10479998588562012,0.10259997844696045
1,0.06699997186660767,0.0666000247001648,0.10240000486373901,0.10240000486373901
1,0.06679999828338623,0.0666000247001648,0.10250002145767212,0.10240000486373901
