,Unsupervised_Test_Error,Min_Unsupervised_Test_Error,Supervised_Test_Error,Min_Supervised_Test_Error
1,0.1208999752998352,0.1208999752998352,0.12410002946853638,0.12410002946853638
1,0.12239998579025269,0.1208999752998352,0.11970001459121704,0.11970001459121704
1,0.11949998140335083,0.11949998140335083,0.11690002679824829,0.11690002679824829
1,0.11619997024536133,0.11619997024536133,0.13020002841949463,0.11690002679824829
1,0.125,0.11619997024536133,0.12000000476837158,0.11690002679824829
1,0.11890000104904175,0.11619997024536133,0.11779999732971191,0.11690002679824829
1,0.1152999997138977,0.1152999997138977,0.12779998779296875,0.11690002679824829
1,0.12250000238418579,0.1152999997138977,0.13169997930526733,0.11690002679824829
1,0.12690001726150513,0.1152999997138977,0.11820000410079956,0.11690002679824829
1,0.118399977684021,0.1152999997138977,0.12660002708435059,0.11690002679824829
1,0.12440001964569092,0.1152999997138977,0.12760001420974731,0.11690002679824829
1,0.12050002813339233,0.1152999997138977,0.1283000111579895,0.11690002679824829
1,0.12080001831054688,0.1152999997138977,0.1151999831199646,0.1151999831199646
1,0.11349999904632568,0.11349999904632568,0.12050002813339233,0.1151999831199646
1,0.11710000038146973,0.11349999904632568,0.11720001697540283,0.1151999831199646
1,0.11309999227523804,0.11309999227523804,0.12730002403259277,0.1151999831199646
1,0.11710000038146973,0.11309999227523804,0.11790001392364502,0.1151999831199646
1,0.11239999532699585,0.11239999532699585,0.1152999997138977,0.1151999831199646
1,0.1118999719619751,0.1118999719619751,0.11799997091293335,0.1151999831199646
1,0.11229997873306274,0.1118999719619751,0.12230002880096436,0.1151999831199646
1,0.11250001192092896,0.1118999719619751,0.11619997024536133,0.1151999831199646
1,0.11119997501373291,0.11119997501373291,0.11570000648498535,0.1151999831199646
1,0.11070001125335693,0.11070001125335693,0.11570000648498535,0.1151999831199646
1,0.11220002174377441,0.11070001125335693,0.11390000581741333,0.11390000581741333
1,0.10989999771118164,0.10989999771118164,0.11540001630783081,0.11390000581741333
1,0.109499990940094,0.109499990940094,0.10939997434616089,0.10939997434616089
