,One2one_av_Error,Min_One2one_av,One2one_max_Error,Min_One2one_max_Error
1,0.09930002689361572,0.09930002689361572,0.14800000190734863,0.14800000190734863
1,0.07760000228881836,0.07760000228881836,0.10519999265670776,0.10519999265670776
1,0.0690000057220459,0.0690000057220459,0.08880001306533813,0.08880001306533813
1,0.06180000305175781,0.06180000305175781,0.08240002393722534,0.08240002393722534
1,0.059599995613098145,0.059599995613098145,0.08060002326965332,0.08060002326965332
1,0.05769997835159302,0.05769997835159302,0.08039999008178711,0.08039999008178711
1,0.057099997997283936,0.057099997997283936,0.07649999856948853,0.07649999856948853
1,0.054099977016448975,0.054099977016448975,0.07340002059936523,0.07340002059936523
1,0.05449998378753662,0.054099977016448975,0.071399986743927,0.071399986743927
1,0.05290001630783081,0.05290001630783081,0.07080000638961792,0.07080000638961792
1,0.05049997568130493,0.05049997568130493,0.06840002536773682,0.06840002536773682
1,0.05320000648498535,0.05049997568130493,0.06790000200271606,0.06790000200271606
1,0.05190002918243408,0.05049997568130493,0.06929999589920044,0.06790000200271606
1,0.050000011920928955,0.050000011920928955,0.06749999523162842,0.06749999523162842
1,0.04890000820159912,0.04890000820159912,0.06610000133514404,0.06610000133514404
1,0.0493999719619751,0.04890000820159912,0.06720000505447388,0.06610000133514404
1,0.04900002479553223,0.04890000820159912,0.06599998474121094,0.06599998474121094
1,0.04799997806549072,0.04799997806549072,0.06550002098083496,0.06550002098083496
1,0.04830002784729004,0.04799997806549072,0.06650000810623169,0.06550002098083496
1,0.04780000448226929,0.04780000448226929,0.06559997797012329,0.06550002098083496
1,0.04739999771118164,0.04739999771118164,0.06529998779296875,0.06529998779296875
1,0.047500014305114746,0.04739999771118164,0.06349998712539673,0.06349998712539673
1,0.04790002107620239,0.04739999771118164,0.06330001354217529,0.06330001354217529
1,0.04610002040863037,0.04610002040863037,0.06379997730255127,0.06330001354217529
1,0.04640001058578491,0.04610002040863037,0.06370002031326294,0.06330001354217529
1,0.045799970626831055,0.045799970626831055,0.06339997053146362,0.06330001354217529
1,0.04659998416900635,0.045799970626831055,0.06430000066757202,0.06330001354217529
1,0.04670000076293945,0.045799970626831055,0.06160002946853638,0.06160002946853638
1,0.04559999704360962,0.04559999704360962,0.06220000982284546,0.06160002946853638
1,0.04589998722076416,0.04559999704360962,0.062399983406066895,0.06160002946853638
1,0.04659998416900635,0.04559999704360962,0.06220000982284546,0.06160002946853638
1,0.04689997434616089,0.04559999704360962,0.062300026416778564,0.06160002946853638
1,0.04640001058578491,0.04559999704360962,0.06269997358322144,0.06160002946853638
1,0.045400023460388184,0.045400023460388184,0.06290000677108765,0.06160002946853638
1,0.04640001058578491,0.045400023460388184,0.06290000677108765,0.06160002946853638
1,0.04650002717971802,0.045400023460388184,0.062300026416778564,0.06160002946853638
1,0.045400023460388184,0.045400023460388184,0.06129997968673706,0.06129997968673706
1,0.04629999399185181,0.045400023460388184,0.062300026416778564,0.06129997968673706
1,0.044700026512145996,0.044700026512145996,0.061100006103515625,0.061100006103515625
1,0.04559999704360962,0.044700026512145996,0.06180000305175781,0.061100006103515625
1,0.04589998722076416,0.044700026512145996,0.06190001964569092,0.061100006103515625
1,0.04559999704360962,0.044700026512145996,0.062099993228912354,0.061100006103515625
1,0.04610002040863037,0.044700026512145996,0.06160002946853638,0.061100006103515625
1,0.04519999027252197,0.044700026512145996,0.0625,0.061100006103515625
1,0.04610002040863037,0.044700026512145996,0.06050002574920654,0.06050002574920654
1,0.045700013637542725,0.044700026512145996,0.06169998645782471,0.06050002574920654
1,0.04490000009536743,0.044700026512145996,0.059300005435943604,0.059300005435943604
1,0.044799983501434326,0.044700026512145996,0.06120002269744873,0.059300005435943604
1,0.0439000129699707,0.0439000129699707,0.05900001525878906,0.05900001525878906
1,0.044200003147125244,0.0439000129699707,0.0625,0.05900001525878906
1,0.04439997673034668,0.0439000129699707,0.06040000915527344,0.05900001525878906
1,0.04430001974105835,0.0439000129699707,0.06160002946853638,0.05900001525878906
1,0.04519999027252197,0.0439000129699707,0.059899985790252686,0.05900001525878906
1,0.04530000686645508,0.0439000129699707,0.059899985790252686,0.05900001525878906
1,0.0439000129699707,0.0439000129699707,0.06269997358322144,0.05900001525878906
1,0.044499993324279785,0.0439000129699707,0.06180000305175781,0.05900001525878906
1,0.044799983501434326,0.0439000129699707,0.06120002269744873,0.05900001525878906
1,0.044200003147125244,0.0439000129699707,0.06180000305175781,0.05900001525878906
1,0.04559999704360962,0.0439000129699707,0.062099993228912354,0.05900001525878906
1,0.044200003147125244,0.0439000129699707,0.06099998950958252,0.05900001525878906
1,0.042900025844573975,0.042900025844573975,0.06150001287460327,0.05900001525878906
1,0.04350000619888306,0.042900025844573975,0.06040000915527344,0.05900001525878906
1,0.04350000619888306,0.042900025844573975,0.059800028800964355,0.05900001525878906
1,0.043200016021728516,0.042900025844573975,0.06160002946853638,0.05900001525878906
1,0.042699992656707764,0.042699992656707764,0.06120002269744873,0.05900001525878906
1,0.043200016021728516,0.042699992656707764,0.06029999256134033,0.05900001525878906
1,0.04240000247955322,0.04240000247955322,0.06059998273849487,0.05900001525878906
1,0.04360002279281616,0.04240000247955322,0.06330001354217529,0.05900001525878906
1,0.04280000925064087,0.04240000247955322,0.06129997968673706,0.05900001525878906
1,0.0437999963760376,0.04240000247955322,0.061100006103515625,0.05900001525878906
1,0.04360002279281616,0.04240000247955322,0.06279999017715454,0.05900001525878906
