,Unsupervised_Test_Error,Min_Unsupervised_Test_Error,Supervised_Test_Error,Min_Supervised_Test_Error
1,0.11349999904632568,0.11349999904632568,0.11659997701644897,0.11659997701644897
1,0.11549997329711914,0.11349999904632568,0.1151999831199646,0.1151999831199646
1,0.11220002174377441,0.11220002174377441,0.1184999942779541,0.1151999831199646
1,0.11470001935958862,0.11220002174377441,0.11809998750686646,0.1151999831199646
1,0.11129999160766602,0.11129999160766602,0.11180001497268677,0.11180001497268677
1,0.11100000143051147,0.11100000143051147,0.11089998483657837,0.11089998483657837
1,0.10909998416900635,0.10909998416900635,0.10379999876022339,0.10379999876022339
1,0.10130000114440918,0.10130000114440918,0.10820001363754272,0.10379999876022339
1,0.10269999504089355,0.10130000114440918,0.10530000925064087,0.10379999876022339
1,0.10229998826980591,0.10130000114440918,0.11100000143051147,0.10379999876022339
1,0.10530000925064087,0.10130000114440918,0.10329997539520264,0.10329997539520264
1,0.09930002689361572,0.09930002689361572,0.09799998998641968,0.09799998998641968
1,0.09520000219345093,0.09520000219345093,0.10110002756118774,0.09799998998641968
1,0.09560000896453857,0.09520000219345093,0.09609997272491455,0.09609997272491455
1,0.0910000205039978,0.0910000205039978,0.09509998559951782,0.09509998559951782
1,0.0899999737739563,0.0899999737739563,0.09189999103546143,0.09189999103546143
1,0.0899999737739563,0.0899999737739563,0.09299999475479126,0.09189999103546143
1,0.08869999647140503,0.08869999647140503,0.0910000205039978,0.0910000205039978
1,0.08939999341964722,0.08869999647140503,0.09020000696182251,0.09020000696182251
1,0.08639997243881226,0.08639997243881226,0.08749997615814209,0.08749997615814209
1,0.0842999815940857,0.0842999815940857,0.08660000562667847,0.08660000562667847
1,0.08209997415542603,0.08209997415542603,0.08560001850128174,0.08560001850128174
1,0.08039999008178711,0.08039999008178711,0.0877000093460083,0.08560001850128174
1,0.07910001277923584,0.07910001277923584,0.08170002698898315,0.08170002698898315
1,0.07740002870559692,0.07740002870559692,0.078000009059906,0.078000009059906
1,0.07700002193450928,0.07700002193450928,0.08170002698898315,0.078000009059906
1,0.07599997520446777,0.07599997520446777,0.07649999856948853,0.07649999856948853
1,0.07359999418258667,0.07359999418258667,0.07810002565383911,0.07649999856948853
1,0.0746999979019165,0.07359999418258667,0.07510000467300415,0.07510000467300415
1,0.07260000705718994,0.07260000705718994,0.07719999551773071,0.07510000467300415
1,0.0723000168800354,0.0723000168800354,0.07730001211166382,0.07510000467300415
1,0.07239997386932373,0.0723000168800354,0.07289999723434448,0.07289999723434448
1,0.07099997997283936,0.07099997997283936,0.07039999961853027,0.07039999961853027
1,0.06950002908706665,0.06950002908706665,0.07190001010894775,0.07039999961853027
1,0.06830000877380371,0.06830000877380371,0.0722000002861023,0.07039999961853027
1,0.06720000505447388,0.06720000505447388,0.07050001621246338,0.07039999961853027
1,0.06559997797012329,0.06559997797012329,0.06929999589920044,0.06929999589920044
1,0.06559997797012329,0.06559997797012329,0.0666000247001648,0.0666000247001648
1,0.06480002403259277,0.06480002403259277,0.06650000810623169,0.06650000810623169
1,0.06419998407363892,0.06419998407363892,0.07169997692108154,0.06650000810623169
1,0.06389999389648438,0.06389999389648438,0.06629997491836548,0.06629997491836548
1,0.06300002336502075,0.06300002336502075,0.06269997358322144,0.06269997358322144
1,0.0625,0.0625,0.06309998035430908,0.06269997358322144
1,0.061399996280670166,0.061399996280670166,0.0681999921798706,0.06269997358322144
1,0.061100006103515625,0.061100006103515625,0.06430000066757202,0.06269997358322144
1,0.06069999933242798,0.06069999933242798,0.062399983406066895,0.062399983406066895
1,0.059800028800964355,0.059800028800964355,0.062099993228912354,0.062099993228912354
1,0.059599995613098145,0.059599995613098145,0.062300026416778564,0.062099993228912354
1,0.05949997901916504,0.05949997901916504,0.062099993228912354,0.062099993228912354
1,0.058300018310546875,0.058300018310546875,0.058300018310546875,0.058300018310546875
1,0.058000028133392334,0.058000028133392334,0.058399975299835205,0.058300018310546875
1,0.05720001459121704,0.05720001459121704,0.059300005435943604,0.058300018310546875
1,0.0569000244140625,0.0569000244140625,0.058300018310546875,0.058300018310546875
1,0.055299997329711914,0.055299997329711914,0.055599987506866455,0.055599987506866455
1,0.05510002374649048,0.05510002374649048,0.055800020694732666,0.055599987506866455
1,0.05540001392364502,0.05510002374649048,0.05769997835159302,0.055599987506866455
1,0.0559999942779541,0.05510002374649048,0.056500017642974854,0.055599987506866455
1,0.05419999361038208,0.05419999361038208,0.05540001392364502,0.05540001392364502
1,0.05440002679824829,0.05419999361038208,0.05549997091293335,0.05540001392364502
1,0.05549997091293335,0.05419999361038208,0.05440002679824829,0.05440002679824829
1,0.05419999361038208,0.05419999361038208,0.05190002918243408,0.05190002918243408
1,0.05330002307891846,0.05330002307891846,0.05239999294281006,0.05190002918243408
1,0.05229997634887695,0.05229997634887695,0.05199998617172241,0.05190002918243408
1,0.052799999713897705,0.05229997634887695,0.05239999294281006,0.05190002918243408
1,0.0504000186920166,0.0504000186920166,0.05349999666213989,0.05190002918243408
1,0.05010002851486206,0.05010002851486206,0.053600013256073,0.05190002918243408
1,0.05140000581741333,0.05010002851486206,0.052500009536743164,0.05190002918243408
1,0.050000011920928955,0.050000011920928955,0.049799978733062744,0.049799978733062744
1,0.05019998550415039,0.050000011920928955,0.049799978733062744,0.049799978733062744
1,0.05010002851486206,0.050000011920928955,0.04890000820159912,0.04890000820159912
