,Train_Error,Min_Train_Error,Test_Error,Min_Test_Error
1,0.8600000143051147,0.8600000143051147,0.4659000039100647,0.4659000039100647
1,0.48000001907348633,0.48000001907348633,0.7976999878883362,0.4659000039100647
1,0.5699999928474426,0.48000001907348633,0.3596000075340271,0.3596000075340271
1,0.20999997854232788,0.20999997854232788,0.39149999618530273,0.3596000075340271
1,0.25999999046325684,0.20999997854232788,0.3521000146865845,0.3521000146865845
1,0.1899999976158142,0.1899999976158142,0.281499981880188,0.281499981880188
1,0.12999999523162842,0.12999999523162842,0.3668000102043152,0.281499981880188
1,0.1600000262260437,0.12999999523162842,0.2759000062942505,0.2759000062942505
1,0.029999971389770508,0.029999971389770508,0.2437000274658203,0.2437000274658203
1,0.050000011920928955,0.029999971389770508,0.2597000002861023,0.2437000274658203
1,0.050000011920928955,0.029999971389770508,0.28519999980926514,0.2437000274658203
1,0.019999980926513672,0.019999980926513672,0.2849000096321106,0.2437000274658203
1,0.019999980926513672,0.019999980926513672,0.2684999704360962,0.2437000274658203
1,0.0,0.0,0.24140000343322754,0.24140000343322754
1,0.009999990463256836,0.0,0.25349998474121094,0.24140000343322754
1,0.009999990463256836,0.0,0.25279998779296875,0.24140000343322754
1,0.009999990463256836,0.0,0.31950002908706665,0.24140000343322754
1,0.029999971389770508,0.0,0.2957000136375427,0.24140000343322754
1,0.0,0.0,0.2468000054359436,0.24140000343322754
1,0.0,0.0,0.251800000667572,0.24140000343322754
1,0.0,0.0,0.2402999997138977,0.2402999997138977
1,0.0,0.0,0.22949999570846558,0.22949999570846558
1,0.0,0.0,0.2469000220298767,0.22949999570846558
1,0.0,0.0,0.24830001592636108,0.22949999570846558
1,0.0,0.0,0.24559998512268066,0.22949999570846558
1,0.0,0.0,0.23849999904632568,0.22949999570846558
1,0.0,0.0,0.21950000524520874,0.21950000524520874
1,0.0,0.0,0.22109997272491455,0.21950000524520874
1,0.0,0.0,0.23280000686645508,0.21950000524520874
1,0.0,0.0,0.22839999198913574,0.21950000524520874
1,0.0,0.0,0.22519999742507935,0.21950000524520874
1,0.0,0.0,0.22339999675750732,0.21950000524520874
1,0.0,0.0,0.2214999794960022,0.21950000524520874
1,0.0,0.0,0.2271999716758728,0.21950000524520874
1,0.0,0.0,0.23890000581741333,0.21950000524520874
1,0.0,0.0,0.23259997367858887,0.21950000524520874
1,0.0,0.0,0.23079997301101685,0.21950000524520874
1,0.0,0.0,0.23089998960494995,0.21950000524520874
1,0.0,0.0,0.22710001468658447,0.21950000524520874
1,0.0,0.0,0.2315000295639038,0.21950000524520874
1,0.0,0.0,0.22960001230239868,0.21950000524520874
1,0.0,0.0,0.21770000457763672,0.21770000457763672
1,0.0,0.0,0.2142999768257141,0.2142999768257141
1,0.0,0.0,0.21369999647140503,0.21369999647140503
1,0.0,0.0,0.20999997854232788,0.20999997854232788
1,0.0,0.0,0.20740002393722534,0.20740002393722534
1,0.0,0.0,0.20499998331069946,0.20499998331069946
1,0.0,0.0,0.2149999737739563,0.20499998331069946
1,0.0,0.0,0.21820002794265747,0.20499998331069946
1,0.0,0.0,0.21890002489089966,0.20499998331069946
1,0.0,0.0,0.21880000829696655,0.20499998331069946
1,0.0,0.0,0.21729999780654907,0.20499998331069946
1,0.0,0.0,0.22450000047683716,0.20499998331069946
1,0.0,0.0,0.227400004863739,0.20499998331069946
1,0.0,0.0,0.2257000207901001,0.20499998331069946
1,0.0,0.0,0.21979999542236328,0.20499998331069946
1,0.0,0.0,0.21380001306533813,0.20499998331069946
1,0.0,0.0,0.21299999952316284,0.20499998331069946
1,0.0,0.0,0.2102000117301941,0.20499998331069946
1,0.0,0.0,0.20899999141693115,0.20499998331069946
1,0.0,0.0,0.20920002460479736,0.20499998331069946
1,0.0,0.0,0.21119999885559082,0.20499998331069946
1,0.0,0.0,0.20999997854232788,0.20499998331069946
1,0.0,0.0,0.21369999647140503,0.20499998331069946
1,0.0,0.0,0.21939998865127563,0.20499998331069946
1,0.0,0.0,0.218999981880188,0.20499998331069946
1,0.0,0.0,0.21890002489089966,0.20499998331069946
1,0.0,0.0,0.21799999475479126,0.20499998331069946
1,0.0,0.0,0.2103000283241272,0.20499998331069946
1,0.0,0.0,0.20999997854232788,0.20499998331069946
1,0.0,0.0,0.20829999446868896,0.20499998331069946
1,0.0,0.0,0.2092999815940857,0.20499998331069946
1,0.0,0.0,0.2117999792098999,0.20499998331069946
1,0.0,0.0,0.22009998559951782,0.20499998331069946
1,0.0,0.0,0.22030001878738403,0.20499998331069946
1,0.0,0.0,0.21100002527236938,0.20499998331069946
1,0.0,0.0,0.21139997243881226,0.20499998331069946
1,0.0,0.0,0.21369999647140503,0.20499998331069946
1,0.0,0.0,0.22030001878738403,0.20499998331069946
1,0.0,0.0,0.22210001945495605,0.20499998331069946
1,0.0,0.0,0.22130000591278076,0.20499998331069946
1,0.0,0.0,0.22009998559951782,0.20499998331069946
1,0.0,0.0,0.21560001373291016,0.20499998331069946
1,0.0,0.0,0.21539998054504395,0.20499998331069946
1,0.0,0.0,0.2124999761581421,0.20499998331069946
1,0.0,0.0,0.21660000085830688,0.20499998331069946
1,0.0,0.0,0.21469998359680176,0.20499998331069946
1,0.0,0.0,0.21390002965927124,0.20499998331069946
1,0.0,0.0,0.218500018119812,0.20499998331069946
1,0.0,0.0,0.22200000286102295,0.20499998331069946
1,0.0,0.0,0.22020000219345093,0.20499998331069946
1,0.0,0.0,0.22339999675750732,0.20499998331069946
1,0.0,0.0,0.22039997577667236,0.20499998331069946
1,0.0,0.0,0.22219997644424438,0.20499998331069946
1,0.0,0.0,0.22460001707077026,0.20499998331069946
1,0.0,0.0,0.22649997472763062,0.20499998331069946
1,0.0,0.0,0.22329998016357422,0.20499998331069946
1,0.0,0.0,0.21799999475479126,0.20499998331069946
1,0.0,0.0,0.22269999980926514,0.20499998331069946
1,0.0,0.0,0.22030001878738403,0.20499998331069946
