,Train_Class_Error,Min_Train_Class_Error,Final_Test_Error,Min_Final_Test_Error,Final_Test_Loss,Min_Final_Test_Loss
1,0.6858333349227905,0.6858333349227905,0.12949997186660767,0.12949997186660767,2.2880051136016846,2.2880051136016846
1,0.11000001430511475,0.11000001430511475,0.08600002527236938,0.08600002527236938,2.2715611457824707,2.2715611457824707
1,0.07666665315628052,0.07666665315628052,0.0778999924659729,0.0778999924659729,2.2528090476989746,2.2528090476989746
1,0.06916666030883789,0.06916666030883789,0.07489997148513794,0.07489997148513794,2.2319135665893555,2.2319135665893555
1,0.06583333015441895,0.06583333015441895,0.07419997453689575,0.07419997453689575,2.2087855339050293,2.2087855339050293
1,0.06333333253860474,0.06333333253860474,0.0723000168800354,0.0723000168800354,2.1832845211029053,2.1832845211029053
1,0.0625,0.0625,0.07209998369216919,0.07209998369216919,2.155599594116211,2.155599594116211
1,0.061666667461395264,0.061666667461395264,0.07130002975463867,0.07130002975463867,2.1264901161193848,2.1264901161193848
1,0.0625,0.061666667461395264,0.07209998369216919,0.07130002975463867,2.096017360687256,2.096017360687256
1,0.06083333492279053,0.06083333492279053,0.07169997692108154,0.07130002975463867,2.063910961151123,2.063910961151123
1,0.061666667461395264,0.06083333492279053,0.07020002603530884,0.07020002603530884,2.032181739807129,2.032181739807129
1,0.06083333492279053,0.06083333492279053,0.0690000057220459,0.0690000057220459,2.0006377696990967,2.0006377696990967
1,0.056666672229766846,0.056666672229766846,0.06679999828338623,0.06679999828338623,1.9689598083496094,1.9689598083496094
1,0.05833333730697632,0.056666672229766846,0.06499999761581421,0.06499999761581421,1.9379193782806396,1.9379193782806396
1,0.05416667461395264,0.05416667461395264,0.06379997730255127,0.06379997730255127,1.9088178873062134,1.9088178873062134
1,0.0533333420753479,0.0533333420753479,0.06339997053146362,0.06339997053146362,1.881021499633789,1.881021499633789
1,0.052500009536743164,0.052500009536743164,0.06190001964569092,0.06190001964569092,1.8545000553131104,1.8545000553131104
1,0.0533333420753479,0.052500009536743164,0.06050002574920654,0.06050002574920654,1.8292820453643799,1.8292820453643799
1,0.0533333420753479,0.052500009536743164,0.0591999888420105,0.0591999888420105,1.8067042827606201,1.8067042827606201
1,0.052500009536743164,0.052500009536743164,0.058600008487701416,0.058600008487701416,1.786158561706543,1.786158561706543
1,0.052500009536743164,0.052500009536743164,0.05870002508163452,0.058600008487701416,1.765899419784546,1.765899419784546
1,0.05083334445953369,0.05083334445953369,0.05790001153945923,0.05790001153945923,1.7478374242782593,1.7478374242782593
1,0.04833334684371948,0.04833334684371948,0.05720001459121704,0.05720001459121704,1.7309402227401733,1.7309402227401733
1,0.04833334684371948,0.04833334684371948,0.05669999122619629,0.05669999122619629,1.7159404754638672,1.7159404754638672
1,0.047500014305114746,0.047500014305114746,0.05640000104904175,0.05640000104904175,1.7020833492279053,1.7020833492279053
1,0.04500001668930054,0.04500001668930054,0.055599987506866455,0.055599987506866455,1.689861536026001,1.689861536026001
1,0.04666668176651001,0.04500001668930054,0.05479997396469116,0.05479997396469116,1.6779985427856445,1.6779985427856445
1,0.04583334922790527,0.04500001668930054,0.05460000038146973,0.05460000038146973,1.6674753427505493,1.6674753427505493
1,0.0441666841506958,0.0441666841506958,0.054300010204315186,0.054300010204315186,1.6578843593597412,1.6578843593597412
1,0.04500001668930054,0.0441666841506958,0.05390000343322754,0.05390000343322754,1.6494674682617188,1.6494674682617188
1,0.043333351612091064,0.043333351612091064,0.053099989891052246,0.053099989891052246,1.6415741443634033,1.6415741443634033
1,0.04250001907348633,0.04250001907348633,0.05260002613067627,0.05260002613067627,1.6338638067245483,1.6338638067245483
1,0.04166668653488159,0.04166668653488159,0.0526999831199646,0.05260002613067627,1.6272943019866943,1.6272943019866943
1,0.04166668653488159,0.04166668653488159,0.051599979400634766,0.051599979400634766,1.6216957569122314,1.6216957569122314
1,0.04166668653488159,0.04166668653488159,0.051299989223480225,0.051299989223480225,1.6148500442504883,1.6148500442504883
1,0.03916668891906738,0.03916668891906738,0.050999999046325684,0.050999999046325684,1.609923005104065,1.609923005104065
1,0.038333356380462646,0.038333356380462646,0.05080002546310425,0.05080002546310425,1.6047862768173218,1.6047862768173218
1,0.038333356380462646,0.038333356380462646,0.05049997568130493,0.05049997568130493,1.600517988204956,1.600517988204956
